"","subsector","species","month","international_waters","tons"
"90","artisanal","ANGUILA","JUL",0,NA
"91","artisanal","ANGUILA","JUN",0,NA
"92","artisanal","ANGUILA","MAR",0,6
"93","artisanal","ANGUILA","MAY",0,1.5
"94","artisanal","ANGUILA","NOV",0,8.25
"95","artisanal","ANGUILA","OCT",0,8.5
"96","artisanal","ANGUILA","SEP",0,NA
"97","artisanal","ANGUILA BABOSA","ABR",0,NA
"98","artisanal","ANGUILA BABOSA","AGO",0,NA
"99","artisanal","ANGUILA BABOSA","DIC",0,NA
"100","artisanal","ANGUILA BABOSA","ENE",0,NA
"101","artisanal","ANGUILA BABOSA","FEB",0,8
"102","artisanal","ANGUILA BABOSA","JUL",0,NA
"103","artisanal","ANGUILA BABOSA","JUN",0,NA
"104","artisanal","ANGUILA BABOSA","MAR",0,NA
"105","artisanal","ANGUILA BABOSA","MAY",0,NA
"106","artisanal","ANGUILA BABOSA","NOV",0,NA
"107","artisanal","ANGUILA BABOSA","OCT",0,NA
"108","artisanal","ANGUILA BABOSA","SEP",0,NA
"109","artisanal","APA<U+00D1>ADO","ABR",0,1.33333333333333
"110","artisanal","APA<U+00D1>ADO","AGO",0,1.33333333333333
"111","artisanal","APA<U+00D1>ADO","DIC",0,1
"112","artisanal","APA<U+00D1>ADO","ENE",0,1.5
"113","artisanal","APA<U+00D1>ADO","FEB",0,1
"114","artisanal","APA<U+00D1>ADO","JUL",0,1.5
"115","artisanal","APA<U+00D1>ADO","JUN",0,1.5
"116","artisanal","APA<U+00D1>ADO","MAR",0,7.5
"117","artisanal","APA<U+00D1>ADO","MAY",0,3.33333333333333
"118","artisanal","APA<U+00D1>ADO","NOV",0,1
"119","artisanal","APA<U+00D1>ADO","OCT",0,1
"120","artisanal","APA<U+00D1>ADO","SEP",0,1.5
"121","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","ABR",0,4
"122","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","ABR",1,NA
"123","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","AGO",0,1.66666666666667
"124","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","AGO",1,NA
"125","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","DIC",0,1
"126","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","DIC",1,NA
"127","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","ENE",0,1
"128","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","ENE",1,NA
