"species","sc_name"
"PULPO DEL SUR","Enteroctopus megalocyathus"
"PUYE","Galaxias maculatus"
"RAYA ESPINOSA","Dipturus trachyderma"
"RAYA VOLANTIN","Zearaja chilensis"
"REINETA","Brama australis"
"ROBALO","Eleginops maclovinus"
"ROCOCO","Paralonchurus peruanus"
"ROLLIZO","Pinguipes chilensis"
"RONCACHO","Sciaena deliciosa"
"SARDINA AUSTRAL","Sprattus fuegensis"
"SARDINA COMUN","Strangomera bentincki"
"SARDINA ESPANOLA","Sardinops sagax"
"SARGO","Anisotremus scapularis"
"SIERRA","Thyrsites atun"
"TAQUILLA","Mulinia edulis"
"TIBURON O MARRAJO","Isurus oxyrinchus"
"TIBURON SARDINERO","Lamna nasus"
"TOLLO","Mustelus mento"
"TUMBAO","Semele solida"
"VIDRIOLA, PALOMETA, DORADO O TOREMO","Seriola lalandi"
"VIEJA O MULATA","Graus nigra"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius"
"ANGUILA BABOSA","Eptatretus polytrema"
"ATUN ALETA AMARILLA / KAHI AVE AVE","Thunnus albacares"
"BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","Ruvettus pretiosus"
"CABRILLA ESPANOLA","Sebastes capensis"
"CHASQUE O CHALACO","Auchenionchus spp."
"COJINOBA DEL NORTE / PIAFRI","Seriolella violacea"
"COJINOBA DEL SUR O AZUL","Seriolella caerulea"
"DORADO DE ALTURA / MAHI MAHI","Coryphaena hippurus"
"EMPERADOR","Luvarus imperialis"
"GRANADERO GRANDE","Macrourus holotrachys"
"JAIBA PACO","Mursia gaudichaudi"
"JAIBA PANCORA","Hemigrapsus crenulatus"
"JUREL DE JUAN FERNANDEZ","Caranx georgianus"
"KRILL","Euphasia superba"
"LANGOSTINO DE LOS CANALES","Munida subrugosa"
"LAPA","Fissurella spp."
"LENGUADO","Paralichthys spp."
"LENGUADO DE OJOS CHICOS","Paralichthys microps"
"MARLIN RAYADO","Tetrapturus audax"
"MORENA DE ALETA BAJA / KOREHA HA OKO","Gymnothorax porphyreus"
"PAMPANITO DE JUAN FERNANDEZ","Scorpis chilensis"
"PEJE GATO HOCICON","Apristurus nasutus"
"PICHIBUENO","Menticirrhus ophicephalus"
"PULGA SALTARINA O GAMBITA","Gammarus sp"
"PULPO DEL NORTE","Octopus (vulgaris) mimus"
"SALMON REY","Oncorhynchus tshawytscha"
"TIBURON FUME, GRIS O GATA DE MAR","Hexanchus griseus"
"TIBURON NARIGON GRIS","Deania calcea"
"TIBURON O MARRAJO DENTUDO","Isurus oxyrinchus"
"TOLLO DE CACHOS","Squalus acanthias"
"ACHA O HACHA","Medialuna ancietae"
"ATUN OJOS GRANDES / KAHI MATA TATA","Thunnus obesus"
"BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","Polyprion oxygeneios"
"BARRACUDA O PETO / KANA KANA","Acanthocybium solandri"
"CAMARON NAVAJA","Campylonotus semistriatus"
"CENTOLLA DEL NORTE","Lithodes spp."
"LAPA BONETE","Fissurella costata"
"LENGUADO DE OJOS GRANDES","Hippoglossina macrops"
"MEDUSA","Chrysaora Plocamia"
