"especie_SERNAPESCA","nombre_cientifico_SERNAPESCA"
"LANGOSTA ENANA","Projasus bahamondei"
"LANGOSTA ENANA","Projasus bahamondei"
"PICOROCO","Austromegabalanus psittacus"
"PULGA SALTARINA O GAMBITA","Gammarus sp"
"ERIZO","Loxechinus albus"
"ERIZO","Loxechinus albus"
"ERIZO","Loxechinus albus"
"ERIZO","Loxechinus albus"
"MEDUSA","Chrysaora Plocamia"
"MEDUSA","Chrysaora Plocamia"
"PEPINO DE MAR","Athyonidium chilensis"
"PEPINO DE MAR","Athyonidium chilensis"
"PEPINO DE MAR","Athyonidium chilensis"
"PEPINO DE MAR","Athyonidium chilensis"
"PIURE","Pyura chilensis"
"ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","Katsuwonus pelamis"
"ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","Katsuwonus pelamis"
"ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU","Katsuwonus pelamis"
"BAGRE","Ameiurus melas"
"BAGRE","Ameiurus melas"
"BAGRE","Ameiurus melas"
"BAGRE","Ameiurus melas"
"BAGRE","Ameiurus melas"
"BAGRE","Ameiurus melas"
"BAGRE","Ameiurus melas"
"BAGRE","Ameiurus melas"
"BAGRE","Ameiurus melas"
"BAGRE","Ameiurus melas"
"BRECA DE JUAN FERNANDEZ","Nemadactylus gayi"
"COCHINILLA","Navodon Paschalis"
"HUAIQUIL O CORVINILLA","Micropogonias manni"
"RAYA ESPINOSA","Dipturus trachyderma"
"CAMARON NAVAJA","Campylonotus semistriatus"
"CAMARON NAVAJA","Campylonotus semistriatus"
"CAMARON NAVAJA","Campylonotus semistriatus"
"CAMARON NAVAJA","Campylonotus semistriatus"
"CAMARON NAVAJA","Campylonotus semistriatus"
"CAMARON NAVAJA","Campylonotus semistriatus"
"ALGAS MIXTAS",NA
"ALGAS MIXTAS",NA
"ALGAS MIXTAS",NA
"CAROLA","Callophyllis variegata"
"CAROLA","Callophyllis variegata"
"CAROLA","Callophyllis variegata"
"JUREL FINO","Decapterus macrosoma"
"JUREL FINO","Decapterus macrosoma"
"JUREL FINO","Decapterus macrosoma"
"MATAHUIRA, KARA KARA O KRA KRA","Heteropriacanthus cruentatus"
"NANUE, NANUE PARA, PISI O PUA","Kiphosus sandwicensis / Kiphosus bigibbus"
"QUIMERA NEGRA","NA"
"MERLUZA DE TRES ALETAS","Micromesistius australis"
"MERLUZA DE TRES ALETAS","Micromesistius australis"
"MERLUZA DE TRES ALETAS","Micromesistius australis"
"MERLUZA DE TRES ALETAS","Micromesistius australis"
"MERLUZA DE TRES ALETAS","Micromesistius australis"
"MERLUZA DE TRES ALETAS","Micromesistius australis"
"MERLUZA DE TRES ALETAS","Micromesistius australis"
"MERLUZA DE TRES ALETAS","Micromesistius australis"
"MERLUZA DE TRES ALETAS","Micromesistius australis"
"MERLUZA DE TRES ALETAS","Micromesistius australis"
"MERLUZA DE TRES ALETAS","Micromesistius australis"
"LENGUADO DE OJOS GRANDES","Hippoglossina macrops"
"CENTOLLA DEL NORTE","Lithodes spp."
"CENTOLLA DEL NORTE","Lithodes spp."
"CENTOLLA DEL NORTE","Lithodes spp."
"CENTOLLA DEL NORTE","Lithodes spp."
"GRANADERO GRANDE","Macrourus holotrachys"
"GRANADERO GRANDE","Macrourus holotrachys"
"GRANADERO GRANDE","Macrourus holotrachys"
"GRANADERO GRANDE","Macrourus holotrachys"
"GRANADERO GRANDE","Macrourus holotrachys"
"GRANADERO GRANDE","Macrourus holotrachys"
"GRANADERO GRANDE","Macrourus holotrachys"
"GRANADERO GRANDE","Macrourus holotrachys"
"PEJERRATA","Coelorhynchus chilensis"
"PEJERRATA","Coelorhynchus chilensis"
"PEJERRATA","Coelorhynchus chilensis"
"PEJERRATA","Coelorhynchus chilensis"
"PEJERRATA","Coelorhynchus chilensis"
"PEJERRATA","Coelorhynchus chilensis"
"PEJERRATA","Coelorhynchus chilensis"
"PEJERRATA","Coelorhynchus chilensis"
"PEJERRATA O GRANADERO ESCAMOSO","Macrourus carinatus."
"PEJERRATA O GRANADERO ESCAMOSO","Macrourus carinatus."
"PEJERRATA O GRANADERO ESCAMOSO","Macrourus carinatus."
"PEJERRATA O GRANADERO ESCAMOSO","Macrourus carinatus."
"PEJERRATA O GRANADERO ESCAMOSO","Macrourus carinatus."
"PEJERRATA O GRANADERO ESCAMOSO","Macrourus carinatus."
"PEJERRATA O GRANADERO ESCAMOSO","Macrourus carinatus."
"PEJERRATA O GRANADERO ESCAMOSO","Macrourus carinatus."
"DRACO RAYADO","Champsocephalus gunnari"
"KRILL","Euphasia superba"
"RAYA AGUILA","Myliobatis peruvianus"
"RAYA AGUILA","Myliobatis peruvianus"
"RAYA AGUILA","Myliobatis peruvianus"
"RAYA AGUILA","Myliobatis peruvianus"
"RAYA AGUILA","Myliobatis peruvianus"
"RAYA AGUILA","Myliobatis peruvianus"
"RAYA AGUILA","Myliobatis peruvianus"
"RAYA AGUILA","Myliobatis peruvianus"
"RAYA AGUILA","Myliobatis peruvianus"
"BACALAO ANTARTICO","Dissostichus mawsoni"
"BACALAO ANTARTICO","Dissostichus mawsoni"
"BACALAO ANTARTICO","Dissostichus mawsoni"
"BACALAO ANTARTICO","Dissostichus mawsoni"
"BACALAO ANTARTICO","Dissostichus mawsoni"
"BACALAO ANTARTICO","Dissostichus mawsoni"
"MERLUZA DEL ATLANTICO","Merluccius hubbsi"
"MERLUZA DEL ATLANTICO","Merluccius hubbsi"
"MERLUZA DEL ATLANTICO","Merluccius hubbsi"
"MERLUZA DEL ATLANTICO","Merluccius hubbsi"
"MERLUZA DEL ATLANTICO","Merluccius hubbsi"
"MERLUZA DEL ATLANTICO","Merluccius hubbsi"
"MERLUZA DEL ATLANTICO","Merluccius hubbsi"
"NOTOTENIA O MARUJITO","Patagonotothen ramsayi"
"RAYA MOTEADA O NEGRA","Sympterygia brevicaudata"
"RAYA MOTEADA O NEGRA","Sympterygia brevicaudata"
"RAYA MOTEADA O NEGRA","Sympterygia brevicaudata"
"RAYA MOTEADA O NEGRA","Sympterygia brevicaudata"
"RAYA MOTEADA O NEGRA","Sympterygia brevicaudata"
"RAYA MOTEADA O NEGRA","Sympterygia brevicaudata"
"RAYA MOTEADA O NEGRA","Sympterygia brevicaudata"
"RAYA MOTEADA O NEGRA","Sympterygia brevicaudata"
"RAYA MOTEADA O NEGRA","Sympterygia brevicaudata"
"CALAMAR ILLEX O POTA DEL ATLANTICO","Illex argentinus"
"CALAMAR ILLEX O POTA DEL ATLANTICO","Illex argentinus"
"CALAMAR ILLEX O POTA DEL ATLANTICO","Illex argentinus"
"POTA DEL PACIFICO","Todarodes Pacificus"
"POTA DEL PACIFICO","Todarodes Pacificus"
"POTA DEL PACIFICO","Todarodes Pacificus"
"CUBICEPS","Cubiceps"
