"especie_SERNAPESCA","nombre_cientifico_SERNAPESCA"
"CONGRIO COLORADO","Genypterus chilensis"
"CONGRIO COLORADO","Genypterus chilensis"
"CONGRIO COLORADO","Genypterus chilensis"
"CONGRIO COLORADO","Genypterus chilensis"
"CONGRIO COLORADO","Genypterus chilensis"
"CONGRIO COLORADO","Genypterus chilensis"
"CONGRIO COLORADO","Genypterus chilensis"
"CONGRIO COLORADO","Genypterus chilensis"
"CONGRIO DORADO","Genypterus blacodes"
"CONGRIO DORADO","Genypterus blacodes"
"CONGRIO DORADO","Genypterus blacodes"
"CONGRIO DORADO","Genypterus blacodes"
"CONGRIO DORADO","Genypterus blacodes"
"CONGRIO DORADO","Genypterus blacodes"
"CONGRIO DORADO","Genypterus blacodes"
"CONGRIO DORADO","Genypterus blacodes"
"CONGRIO DORADO","Genypterus blacodes"
"CONGRIO NEGRO","Genypterus maculatus"
"CONGRIO NEGRO","Genypterus maculatus"
"CONGRIO NEGRO","Genypterus maculatus"
"CONGRIO NEGRO","Genypterus maculatus"
"CONGRIO NEGRO","Genypterus maculatus"
"CONGRIO NEGRO","Genypterus maculatus"
"CONGRIO NEGRO","Genypterus maculatus"
"CONGRIO NEGRO","Genypterus maculatus"
"CORVINA","Cilus gilberti"
"CORVINA","Cilus gilberti"
"DORADO DE ALTURA / MAHI MAHI","Coryphaena hippurus"
"DORADO DE ALTURA / MAHI MAHI","Coryphaena hippurus"
"EMPERADOR","Luvarus imperialis"
"JERGUILLA","Aplodactylus punctatus"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL","Trachurus murphyi"
"JUREL DE JUAN FERNANDEZ","Caranx georgianus"
"JUREL DE JUAN FERNANDEZ","Caranx georgianus"
"JUREL DE JUAN FERNANDEZ","Caranx georgianus"
"LENGUADO","Paralichthys spp."
"LENGUADO","Paralichthys spp."
"LENGUADO DE OJOS CHICOS","Paralichthys microps"
"LISA","Mugil cephalus"
"MACHUELO O TRITRE","Ethmidium maculatum"
"MARLIN","Tetrapturus spp., Makaira spp"
"MARLIN","Tetrapturus spp., Makaira spp"
"MARLIN","Tetrapturus spp., Makaira spp"
"MARLIN RAYADO","Tetrapturus auda"
"MARLIN RAYADO","Tetrapturus auda"
"MARLIN RAYADO","Tetrapturus auda"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA DE COLA","Macruronus magellanicus"
"MERLUZA DE COLA","Macruronus magellanicus"
"MERLUZA DE COLA","Macruronus magellanicus"
"MERLUZA DE COLA","Macruronus magellanicus"
"MERLUZA DE COLA","Macruronus magellanicus"
"MERLUZA DE COLA","Macruronus magellanicus"
"MERLUZA DE COLA","Macruronus magellanicus"
"MERLUZA DE COLA","Macruronus magellanicus"
"MERLUZA DEL SUR O AUSTRAL","Merluccius australis"
"MERLUZA DEL SUR O AUSTRAL","Merluccius australis"
"MERLUZA DEL SUR O AUSTRAL","Merluccius australis"
"MERLUZA DEL SUR O AUSTRAL","Merluccius australis"
"MERLUZA DEL SUR O AUSTRAL","Merluccius australis"
"MERLUZA DEL SUR O AUSTRAL","Merluccius australis"
"MERLUZA DEL SUR O AUSTRAL","Merluccius australis"
"MERLUZA DEL SUR O AUSTRAL","Merluccius australis"
"MERLUZA DEL SUR O AUSTRAL","Merluccius australis"
"MERLUZA DEL SUR O AUSTRAL","Merluccius australis"
"MORENA DE ALETA BAJA / KOREHA HA OKO","Gymnothorax porphyreus"
"PAMPANITO","Stromateus stellatus"
"PAMPANITO DE JUAN FERNANDEZ","Scorpis chilensis"
"PEJE GATO HOCICON","Apristurus nasutus"
"PEJEGALLO","Callorhinchus callorhynchus"
"PEJEPERRO","Semicossyphus maculatus"
"PEJERREY DE MAR","Odontesthes regia"
"PEJERREY DE MAR","Odontesthes regia"
"PEJESAPO","Sicyases sanguin"
"PESCADO NO CLASIFICADO","NA"
"PEZ SOL","Lampris guttatus"
"PICHIBUENO","Menticirrhus ophicephalus"
"PUYE","Galaxias maculatus"
"RAYA VOLANTIN","Zearaja chilensis"
"RAYA VOLANTIN","Zearaja chilensis"
"RAYA VOLANTIN","Zearaja chilensis"
"RAYA VOLANTIN","Zearaja chilensis"
"RAYA VOLANTIN","Zearaja chilensis"
"RAYA VOLANTIN","Zearaja chilensis"
"REINETA","Brama australis"
"REINETA","Brama australis"
"REINETA","Brama australis"
"REINETA","Brama australis"
"REINETA","Brama australis"
"REINETA","Brama australis"
"ROBALO","Eleginops maclovinus"
"ROBALO","Eleginops maclovinus"
"ROCOCO","Paralonchurus peruanus"
"ROLLIZO","Pinguipes chilensis"
"RONCACHO","Sciaena deliciosa"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SALMON REY","Oncorhynchus tshawytscha"
"SARDINA AUSTRAL","Sprattus fuegensis"
"SARDINA AUSTRAL","Sprattus fuegensis"
"SARDINA AUSTRAL","Sprattus fuegensis"
"SARDINA COMUN","Strangomera bentincki"
"SARDINA COMUN","Strangomera bentincki"
"SARDINA COMUN","Strangomera bentincki"
"SARDINA COMUN","Strangomera bentincki"
"SARDINA ESPA<U+00D1>OLA","Sardinops sagax"
"SARDINA ESPA<U+00D1>OLA","Sardinops sagax"
"SARDINA ESPA<U+00D1>OLA","Sardinops sagax"
"SARDINA ESPA<U+00D1>OLA","Sardinops sagax"
"SARDINA ESPA<U+00D1>OLA","Sardinops sagax"
"SARDINA ESPA<U+00D1>OLA","Sardinops sagax"
"SARDINA ESPA<U+00D1>OLA","Sardinops sagax"
"SARDINA ESPA<U+00D1>OLA","Sardinops sagax"
"SARDINA ESPA<U+00D1>OLA","Sardinops sagax"
"SARGO","Anisotremus scapularis"
"SIERRA","Thyrsites atun"
"TIBURON FUME, GRIS O GATA DE MAR","Hexanchus griseus"
"TIBURON FUME, GRIS O GATA DE MAR","Hexanchus griseus"
"TIBURON FUME, GRIS O GATA DE MAR","Hexanchus griseus"
"TIBURON FUME, GRIS O GATA DE MAR","Hexanchus griseus"
"TIBURON FUME, GRIS O GATA DE MAR","Hexanchus griseus"
"TIBURON FUME, GRIS O GATA DE MAR","Hexanchus griseus"
"TIBURON FUME, GRIS O GATA DE MAR","Hexanchus griseus"
"TIBURON FUME, GRIS O GATA DE MAR","Hexanchus griseus"
"TIBURON FUME, GRIS O GATA DE MAR","Hexanchus griseus"
"TIBURON NARIGON GRIS","Deania calcea"
"TIBURON NARIGON GRIS","Deania calcea"
"TIBURON NARIGON GRIS","Deania calcea"
"TIBURON NARIGON GRIS","Deania calcea"
"TIBURON NARIGON GRIS","Deania calcea"
"TIBURON NARIGON GRIS","Deania calcea"
"TIBURON NARIGON GRIS","Deania calcea"
"TIBURON NARIGON GRIS","Deania calcea"
"TIBURON NARIGON GRIS","Deania calcea"
"TIBURON O MARRAJO DENTUDO","Isurus oxyrinchus"
"TIBURON O MARRAJO DENTUDO","Isurus oxyrinchus"
"TIBURON O MARRAJO DENTUDO","Isurus oxyrinchus"
"TIBURON O MARRAJO DENTUDO","Isurus oxyrinchus"
"TIBURON O MARRAJO DENTUDO","Isurus oxyrinchus"
"TIBURON O MARRAJO DENTUDO","Isurus oxyrinchus"
"TIBURON O MARRAJO DENTUDO","Isurus oxyrinchus"
"TIBURON O MARRAJO DENTUDO","Isurus oxyrinchus"
"TIBURON O MARRAJO DENTUDO","Isurus oxyrinchus"
"TIBURON SARDINERO","Lamna nasus"
"TIBURON SARDINERO","Lamna nasus"
"TIBURON SARDINERO","Lamna nasus"
"TIBURON SARDINERO","Lamna nasus"
"TIBURON SARDINERO","Lamna nasus"
"TIBURON SARDINERO","Lamna nasus"
"TIBURON SARDINERO","Lamna nasus"
"TIBURON SARDINERO","Lamna nasus"
"TIBURON SARDINERO","Lamna nasus"
"TOLLO","Mustelus mento"
"TOLLO","Mustelus mento"
"TOLLO","Mustelus mento"
"TOLLO","Mustelus mento"
"TOLLO","Mustelus mento"
"TOLLO","Mustelus mento"
"TOLLO","Mustelus mento"
"TOLLO","Mustelus mento"
"TOLLO","Mustelus mento"
"TOLLO DE CACHOS","Squalus acanthias"
"TOLLO DE CACHOS","Squalus acanthias"
"TOLLO DE CACHOS","Squalus acanthias"
"TOLLO DE CACHOS","Squalus acanthias"
"TOLLO DE CACHOS","Squalus acanthias"
"TOLLO DE CACHOS","Squalus acanthias"
"TOLLO DE CACHOS","Squalus acanthias"
"TOLLO DE CACHOS","Squalus acanthias"
"TOLLO DE CACHOS","Squalus acanthias"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss"
"TURBOT","Scophtalmus maximus"
"TURBOT","Scophtalmus maximus"
"VIDRIOLA, PALOMETA, DORADO O TOREMO","Seriola lalandi"
"VIEJA O MULATA","Graus nigra"
"VINCIGUERRIA","Vinciguerria lucetia pacifici"
"ABALON JAPONES","Haliotis discus hannai"
"ABALON JAPONES","Haliotis discus hannai"
"ABALON JAPONES","Haliotis discus hannai"
"ABALON ROJO","Haliotis rufescens"
"ALMEJA","Venus antiqua"
"ALMEJA","Venus antiqua"
"ALMEJA","Venus antiqua"
"ALMEJA O TACA","Protothaca taca"
"ALMEJA O TACA","Protothaca taca"
"ALMEJA O TACA","Protothaca taca"
"CALAMAR","Loligo gahi"
"CARACOL LOCATE","Thais chocolata"
"CARACOL LOCATE","Thais chocolata"
"CARACOL PALO PALO","Argobuccinum spp."
"CARACOL PALO PALO","Argobuccinum spp."
"CARACOL PICUYO","Odontocymbiola magellanica"
"CARACOL REAL O GIGANTE O VOLUTA ANGULOSA","Zidona dufresnei"
"CARACOL REAL O GIGANTE O VOLUTA ANGULOSA","Zidona dufresnei"
"CARACOL RUBIO","Xantochorus cassidiformis"
"CARACOL TEGULA","Tegula atra"
"CARACOL TRUMULCO","Chorus giganteus"
"CARACOL TROPHON","Trophon geversianus"
"CARACOL TROPHON","Trophon geversianus"
"CHOCHA","Trochita trochiformes"
"CHOLGA","Aulacomya ater"
"CHORITO","Mytilus chilensis"
"CHORITO","Mytilus chilensis"
"CHORITO","Mytilus chilensis"
"CHORO","Choromytilus chorus"
"CULENGUE","Gari solida"
"HUEPO O NAVAJA DE MAR","Ensis macha"
"HUEPO O NAVAJA DE MAR","Ensis macha"
"HUEPO O NAVAJA DE MAR","Ensis macha"
"JIBIA O CALAMAR ROJO","Dosidicus gigas"
"JIBIA O CALAMAR ROJO","Dosidicus gigas"
"JIBIA O CALAMAR ROJO","Dosidicus gigas"
"JULIANA O TAWERA","Tawera gayi"
"JULIANA O TAWERA","Tawera gayi"
"LAPA","Fissurella spp."
"LAPA NEGRA","Fissurella latimarginata"
"LAPA PICTA","Fissurella picta"
"LAPA REINA","Fissurella maxima"
