"species","sc_name","grupo_exportacion"
"LAPA PICTA","Fissurella picta","lapa"
"LAPA REINA","Fissurella maxima","lapa"
"LAPA ROSADA","Fissurella cumingi","lapa"
"LOCO","Concholepas concholepas","loco"
"MACHA","Mesodesma donacium","macha"
"NAVAJUELA","Tagelus dombeii","navajuelas"
"OSTION DEL NORTE","Argopecten purpuratus","ostion"
"OSTION DEL SUR","Chlamys vitrea","ostion"
"OSTION PATAGONICO","Chlamys patagonica","ostion"
"OSTRA CHILENA","Ostrea chilensis","ostras"
"OSTRA DEL PACIFICO","Crassostrea gigas","ostras"
"PULPO DEL NORTE","Octopus (vulgaris) mimus","pulpo"
"PULPO DEL SUR","Enteroctopus megalocyathus","pulpo"
"TAQUILLA","Mulinia edulis","NA"
"TUMBAO","Semele solida","tumbaos"
"CAMARON NAILON","Heterocarpus reedi","camaron"
"CAMARON DE RIO DEL NORTE","Cryphiops caementarius","camaron"
"CAMARON ECUATORIANO O PENAEUE","Penaeus vannamei","camaron"
"CANGREJO DORADO DE J. FERNANDEZ","Chaceon chilensis","NA"
"CENTOLLA","Lithodes santolla","centolla"
"CENTOLLON","Paralomis granulosa","centolla"
"CENTOLLON DEL NORTE","Paralomis spp.","centolla"
"GAMBA","Haliporoides diomedeae","gamba"
"JAIBA","Cancer spp.","jaiba"
"JAIBA LIMON","Cancer porteri","jaiba"
"JAIBA MARMOLA","Cancer edwardsi","jaiba"
"JAIBA MORA","Homalaspis plana","jaiba"
"JAIBA PACO","Mursia gaudichaudi","jaiba"
"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus","jaiba"
"JAIBA PANCORA","Hemigrapsus crenulatus","jaiba"
"JAIBA PATUDA","Taliepus marginatus","jaiba"
"JAIBA PELUDA O PACHONA","Cancer setosus","jaiba"
"JAIBA REINA","Cancer coronatus","jaiba"
"JAIBA REMADORA","Ovalipes trimaculatus","jaiba"
"LANGOSTA DE ISLA DE PASCUA O URA","Panulirus pascuensis","langostas"
"LANGOSTA DE J.FERNANDEZ","Jasus frontalis","langostas"
"LANGOSTINO AMARILLO","Cervimunida johni","langostinos"
"LANGOSTINO COLORADO","Pleuroncodes monodon","langostinos"
"LANGOSTINO DE LOS CANALES","Munida subrugosa","langostinos"
"LANGOSTINO ENANO","Pleuroncodes sp","langostinos"
"ACHA O HACHA","Medialuna ancietae","NA"
"ATUN OJOS GRANDES / KAHI MATA TATA","Thunnus obesus","atun"
"BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","Polyprion oxygeneios","bacalao_jf"
"BARRACUDA O PETO / KANA KANA","NA","NA"
"BROTULA","Salilota australis","brotula"
"COJINOBA MOTEADA","Seriolella punctata","cojinobas"
"PEJERRATA O GRANADERO","Coelorhynchus spp","NA"
"PEJEZORRO","Alopias vulpinus","tiburones"
"REMOREMO","Elagatis bipinnulata","NA"
"LAPA BONETE","Fissurella costata","lapa"
