"region","tons","product","year","species"
"V","0","oil",2013,"MERLUZA DE COLA"
"V","0","oil",2013,"MERLUZA DE COLA"
"V","0","oil",2013,"PAMPANITO"
"V","0","oil",2013,"PAMPANITO"
"V","0","oil",2013,"PESCADO NO CLASIFICADO"
"V","0","oil",2013,"PESCADO NO CLASIFICADO"
"V","0","oil",2013,"SARDINA AUSTRAL"
"V","0","oil",2013,"SARDINA AUSTRAL"
"V","0","oil",2013,"SARDINA COMUN"
"V","423","oil",2013,"SARDINA COMUN"
"V","0","oil",2013,"JIBIA O CALAMAR ROJO"
"V","0","oil",2013,"JIBIA O CALAMAR ROJO"
"VI","0","oil",2013,"AGUJILLA"
"VI","0","oil",2013,"AGUJILLA"
"VI","0","oil",2013,"ANCHOVETA"
"VI","0","oil",2013,"ANCHOVETA"
"VI","0","oil",2013,"BACALADILLO O MOTE"
"VI","0","oil",2013,"BACALADILLO O MOTE"
"VI","0","oil",2013,"CABALLA"
"VI","0","oil",2013,"CABALLA"
"VI","0","oil",2013,"JUREL"
"VI","0","oil",2013,"JUREL"
"VI","0","oil",2013,"MACHUELO O TRITRE"
"VI","0","oil",2013,"MACHUELO O TRITRE"
"VI","0","oil",2013,"MERLUZA DE COLA"
"VI","0","oil",2013,"MERLUZA DE COLA"
"VI","0","oil",2013,"PAMPANITO"
"VI","0","oil",2013,"PAMPANITO"
"VI","0","oil",2013,"PESCADO NO CLASIFICADO"
"VI","0","oil",2013,"PESCADO NO CLASIFICADO"
"VI","0","oil",2013,"SARDINA AUSTRAL"
"VI","0","oil",2013,"SARDINA AUSTRAL"
"VI","0","oil",2013,"SARDINA COMUN"
"VI","0","oil",2013,"SARDINA COMUN"
"VI","0","oil",2013,"JIBIA O CALAMAR ROJO"
"VI","0","oil",2013,"JIBIA O CALAMAR ROJO"
"VII","0","oil",2013,"AGUJILLA"
"VII","0","oil",2013,"AGUJILLA"
"VII","0","oil",2013,"ANCHOVETA"
"VII","0","oil",2013,"ANCHOVETA"
"VII","0","oil",2013,"BACALADILLO O MOTE"
"VII","0","oil",2013,"BACALADILLO O MOTE"
"VII","0","oil",2013,"CABALLA"
"VII","0","oil",2013,"CABALLA"
"VII","0","oil",2013,"JUREL"
