"species","region","tons","product","year"
"CONGRIO COLORADO","II",0,"fresh",2013
"CONGRIO DORADO","II",0,"fresh",2013
"CONGRIO NEGRO","II",0,"fresh",2013
"CORVINA","II",0,"fresh",2013
"JUREL","II",0,"fresh",2013
"MERLUZA COMUN","II",0,"fresh",2013
"MERLUZA DE COLA","II",0,"fresh",2013
"MERLUZA DEL SUR O AUSTRAL","II",0,"fresh",2013
"PEJEGALLO","II",0,"fresh",2013
"PEJERREY DE MAR","II",0,"fresh",2013
"RAYA VOLANTIN","II",0,"fresh",2013
"REINETA","II",0,"fresh",2013
"ROBALO","II",0,"fresh",2013
"SALMON DEL ATLANTICO","II",0,"fresh",2013
"SALMON PLATEADO","II",0,"fresh",2013
"SALMON REY","II",0,"fresh",2013
"SARDINA COMUN","II",0,"fresh",2013
"SIERRA","II",0,"fresh",2013
"TIBURON O MARRAJO","II",0,"fresh",2013
"TOLLO","II",0,"fresh",2013
"TRUCHA ARCO IRIS","II",0,"fresh",2013
"TURBOT","II",0,"fresh",2013
"ABALON JAPONES","II",0,"fresh",2013
"ABALON ROJO","II",0,"fresh",2013
"ALMEJA","II",0,"fresh",2013
"CARACOL LOCATE","II",0,"fresh",2013
"CARACOL PALO PALO","II",0,"fresh",2013
"CHOLGA","II",0,"fresh",2013
"CHORITO","II",0,"fresh",2013
"CHORO","II",0,"fresh",2013
"CULENGUE","II",0,"fresh",2013
"HUEPO O NAVAJA DE MAR","II",0,"fresh",2013
"JIBIA O CALAMAR ROJO","II",0,"fresh",2013
"LAPA NEGRA","II",81,"fresh",2013
"LOCO","II",10,"fresh",2013
"MACHA","II",0,"fresh",2013
"NAVAJUELA","II",0,"fresh",2013
"OSTION DEL NORTE","II",0,"fresh",2013
"OSTION DEL SUR","II",0,"fresh",2013
"PULPO","II",15,"fresh",2013
"PULPO DEL SUR","II",0,"fresh",2013
"TAQUILLA","II",0,"fresh",2013
"TUMBAO","II",0,"fresh",2013
"CAMARON NAILON","II",0,"fresh",2013
"CENTOLLA","II",0,"fresh",2013
"JAIBA MARMOLA","II",0,"fresh",2013
"JAIBA PELUDA O PACHONA","II",0,"fresh",2013
"ERIZO","II",0,"fresh",2013
"PIURE","II",0,"fresh",2013
"COCHAYUYO","III",0,"fresh",2013
"ALBACORA O PEZ ESPADA","III",0,"fresh",2013
"ATUN OJOS GRANDES","III",0,"fresh",2013
"AZULEJO","III",0,"fresh",2013
"BACALAO DE PROFUNDIDAD","III",0,"fresh",2013
"BESUGO","III",0,"fresh",2013
"CABALLA","III",0,"fresh",2013
"CONGRIO COLORADO","III",0,"fresh",2013
"CONGRIO DORADO","III",0,"fresh",2013
"CONGRIO NEGRO","III",0,"fresh",2013
"CORVINA","III",0,"fresh",2013
"JUREL","III",0,"fresh",2013
"MERLUZA COMUN","III",0,"fresh",2013
"MERLUZA DE COLA","III",0,"fresh",2013
"MERLUZA DEL SUR O AUSTRAL","III",0,"fresh",2013
"PEJEGALLO","III",0,"fresh",2013
"PEJERREY DE MAR","III",0,"fresh",2013
"RAYA VOLANTIN","III",0,"fresh",2013
"REINETA","III",0,"fresh",2013
"ROBALO","III",0,"fresh",2013
"SALMON DEL ATLANTICO","III",0,"fresh",2013
"SALMON PLATEADO","III",0,"fresh",2013
"SALMON REY","III",0,"fresh",2013
"SARDINA COMUN","III",0,"fresh",2013
"SIERRA","III",0,"fresh",2013
"TIBURON O MARRAJO","III",0,"fresh",2013
"TOLLO","III",0,"fresh",2013
"TRUCHA ARCO IRIS","III",0,"fresh",2013
"TURBOT","III",0,"fresh",2013
"ABALON JAPONES","III",4,"fresh",2013
"ABALON ROJO","III",9,"fresh",2013
"ALMEJA","III",0,"fresh",2013
"CARACOL LOCATE","III",0,"fresh",2013
"CARACOL PALO PALO","III",0,"fresh",2013
"CHOLGA","III",0,"fresh",2013
"CHORITO","III",0,"fresh",2013
"CHORO","III",0,"fresh",2013
"CULENGUE","III",0,"fresh",2013
"HUEPO O NAVAJA DE MAR","III",0,"fresh",2013
"JIBIA O CALAMAR ROJO","III",0,"fresh",2013
"LAPA NEGRA","III",23,"fresh",2013
"LOCO","III",0,"fresh",2013
"MACHA","III",0,"fresh",2013
