"species","region","tons","product","year","sc_name","en_name"
"ANCHOVETA","IV",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","IV",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","IV",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","IV",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","IV",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","IV",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","IV",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","IV",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","IV",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","IV",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","IV",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","V",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","V",356,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","V",261,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","V",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","V",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","V",8,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","V",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","V",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","V",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","V",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","V",423,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","V",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","VI",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","VI",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","VI",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","VI",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","VI",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
