"species","region","tons","product","year","sc_name","en_name"
"HUIRO PALO","V",748,"dry algae",2013,"Lessonia trabeculata","Giant brown kelp"
"LUCHE","V",0,"dry algae",2013,"Porphyra columbina","Luche"
"LUGA CUCHARA O CORTA","V",132,"dry algae",2013,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","V",94,"dry algae",2013,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","V",90,"dry algae",2013,"Gigartina skottsbergii","Red luga"
"PELILLO","V",3104,"dry algae",2013,"Gracilaria spp.","Red algae gracilaria"
"SPIRULINA","V",0,"dry algae",2013,"Spirulina spp.","Spirulina"
"CHASCA","VI",0,"dry algae",2013,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","VI",77,"dry algae",2013,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","VI",0,"dry algae",2013,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","VI",153,"dry algae",2013,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","VI",0,"dry algae",2013,"Haematococcus pluvialis","Haematococcus"
"HUIRO","VI",33,"dry algae",2013,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","VI",0,"dry algae",2013,"Lessonia trabeculata","Giant brown kelp"
"LUCHE","VI",0,"dry algae",2013,"Porphyra columbina","Luche"
"LUGA CUCHARA O CORTA","VI",0,"dry algae",2013,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","VI",0,"dry algae",2013,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","VI",0,"dry algae",2013,"Gigartina skottsbergii","Red luga"
"PELILLO","VI",0,"dry algae",2013,"Gracilaria spp.","Red algae gracilaria"
"SPIRULINA","VI",0,"dry algae",2013,"Spirulina spp.","Spirulina"
"CHASCA","VII",0,"dry algae",2013,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","VII",0,"dry algae",2013,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","VII",0,"dry algae",2013,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","VII",0,"dry algae",2013,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","VII",0,"dry algae",2013,"Haematococcus pluvialis","Haematococcus"
"HUIRO","VII",0,"dry algae",2013,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","VII",0,"dry algae",2013,"Lessonia trabeculata","Giant brown kelp"
"LUCHE","VII",0,"dry algae",2013,"Porphyra columbina","Luche"
"LUGA CUCHARA O CORTA","VII",0,"dry algae",2013,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","VII",0,"dry algae",2013,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","VII",0,"dry algae",2013,"Gigartina skottsbergii","Red luga"
"PELILLO","VII",0,"dry algae",2013,"Gracilaria spp.","Red algae gracilaria"
"SPIRULINA","VII",0,"dry algae",2013,"Spirulina spp.","Spirulina"
"CHASCA","VIII",1,"dry algae",2013,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","VIII",739,"dry algae",2013,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","VIII",254,"dry algae",2013,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","VIII",1825,"dry algae",2013,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","VIII",0,"dry algae",2013,"Haematococcus pluvialis","Haematococcus"
"HUIRO","VIII",62,"dry algae",2013,"Macrocystis spp.","Giant kelp"
