especie_SERNAPESCA,sc_name,group,en_group
CARACOL PICUYO,Odontocymbiola magellanica,caracoles_otros,Gastropods
CARACOL REAL O GIGANTE O VOLUTA ANGULOSA,Zidona dufresnei,caracoles_otros,Gastropods
CARACOL RUBIO,Xantochorus cassidiformis,caracoles_otros,Gastropods
CARACOL TEGULA,Tegula atra,caracoles_otros,Gastropods
CARACOL TRUMULCO,Chorus giganteus,caracoles_otros,Gastropods
CARACOL TROPHON,Trophon geversianus,caracoles_otros,Gastropods
CHOCHA,Trochita trochiformes,moluscos_otros,Mollusks
CHOLGA,Aulacomya ater,moluscos_otros,Mollusks
CHORITO,Mytilus chilensis,mejillon,Mussels
CHORO,Choromytilus chorus,mejillon,Mussels
CULENGUE,Gari solida,almeja_otras,Clams
HUEPO O NAVAJA DE MAR,Ensis macha,navaja,Razor clam
JIBIA O CALAMAR ROJO,Dosidicus gigas,jibia,Squid
JULIANA O TAWERA,Tawera gayi,almeja_gayi,Tawera
LAPA,Fissurella spp.,moluscos_otros,Mollusks
LAPA NEGRA,Fissurella latimarginata,moluscos_otros,Mollusks
LAPA PICTA,Fissurella picta,moluscos_otros,Mollusks
LAPA REINA,Fissurella maxima,moluscos_otros,Mollusks
LAPA ROSADA,Fissurella cumingi,moluscos_otros,Mollusks
LOCO,Concholepas concholepas,loco,Loco
MACHA,Mesodesma donacium,macha,Macha
NAVAJUELA,Tagelus dombeii,navajuela,Navajuela
OSTION DEL NORTE,Argopecten purpuratus,ostion,Scallop
OSTION DEL SUR,Chlamys vitrea,moluscos_otros,Mollusks
OSTION PATAGONICO,Chlamys patagonica,ostion,Scallop
OSTRA CHILENA,Ostrea chilensis,ostra,Oyster
OSTRA DEL PACIFICO,Crassostrea gigas,ostra,Oyster
PULPO DEL NORTE,Octopus (vulgaris) mimus,pulpo,Octopus
PULPO DEL SUR,Enteroctopus megalocyathus,pulpo,Octopus
TAQUILLA,Mulinia edulis,almeja_otras,Clams
TUMBAO,Semele solida,almeja_otras,Clams
CAMARON NAILON,Heterocarpus reedi,camaron_nai,Chilean nylon shrimp
CAMARON DE RIO DEL NORTE,Cryphiops caementarius,camaron_rio,Freshwater shrimp
CAMARON ECUATORIANO O PENAEUE,Penaeus vannamei,camaron_ecu,Whiteleg shrimp
CANGREJO DORADO DE J. FERNANDEZ,Chaceon chilensis,cangrejos_otros,Crabs
CENTOLLA,Lithodes santolla,centolla,King crab
CENTOLLON,Paralomis granulosa,crustaceos_otros,Crustaceans
CENTOLLON DEL NORTE,Paralomis spp.,crustaceos_otros,Crustaceans
GAMBA,Haliporoides diomedeae,gambas,Prawns
JAIBA,Cancer spp.,jaiba,Jaiba
JAIBA LIMON,Cancer porteri,jaiba,Jaiba
JAIBA MARMOLA,Cancer edwardsi,jaiba,Jaiba
JAIBA MORA,Homalaspis plana,jaiba,Jaiba
JAIBA PACO,Mursia gaudichaudi,crustaceos_otros,Crustaceans
JAIBA PANCHOTE O CANGREJO,Taliepus dentatus,jaiba,Jaiba
JAIBA PANCORA,Hemigrapsus crenulatus,Crustaceos_otros,Crustaceans
JAIBA PATUDA,Taliepus marginatus,crustaceos_otros,Crustaceans
JAIBA PELUDA O PACHONA,Cancer setosus,jaiba,Jaiba
JAIBA REINA,Cancer coronatus,jaiba,Jaiba
JAIBA REMADORA,Ovalipes trimaculatus,jaiba,Jaiba
LANGOSTA DE ISLA DE PASCUA O URA,Panulirus pascuensis,crustaceos_otros,Crustaceans
LANGOSTA DE J.FERNANDEZ,Jasus frontalis,crustaceos_otros,Crustaceans
LANGOSTINO AMARILLO,Cervimunida johni,langostinos_otros,Langostinos
LANGOSTINO COLORADO,Pleuroncodes monodon,langostino_col,Red squat lobster
LANGOSTINO DE LOS CANALES,Munida subrugosa,langostinos_otros,Langostinos
LANGOSTINO ENANO,Pleuroncodes sp,langostinos_otros,Langistinos
ACHA O HACHA,Medialuna ancietae,pescado_otros,Fish
ATUN OJOS GRANDES / KAHI MATA TATA,Thunnus obesus,atunes,Tuna
BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA,Polyprion oxygeneios,pescado_otros,Fish
BARRACUDA O PETO / KANA KANA,Acanthocybium solandri,pescado_otros,Fish
BROTULA,Salilota australis,pescado_otros,Fish
COJINOBA MOTEADA,Seriolella punctata,pescado_otros,Fish
PEJERRATA O GRANADERO,Coelorhynchus spp,pescado_otros,Fish
PEJEZORRO,Alopias vulpinus,pescado_otros,Fish
REMOREMO,Elagatis bipinnulata,pescado_otros,Fish
LAPA BONETE,Fissurella costata,moluscos_otros,Mollusks
PULPO DE JUAN FERNANDEZ,Octopus Crusoe,pulpo,Octopus
CAMARON DE ROCA,Rhynchocinetes typus,camaron_otro,Shrimp
LANGOSTA ENANA,Projasus bahamondei,crustaceos_otros,Crustaceans
PICOROCO,Austromegabalanus psittacus,crustaceos_otros,Crustaceans
PULGA SALTARINA O GAMBITA,Gammarus sp,crustaceos_otros,Crustaceans
ERIZO,Loxechinus albus,erizo,Sea urchin
MEDUSA,Chrysaora Plocamia,meduza,Jellyfish
PEPINO DE MAR,Athyonidium chilensis,invertebrados_otros,Invertebrates
PIURE,Pyura chilensis,piure,Piure
"ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU",Katsuwonus pelamis,atunes,Tuna
BAGRE,Ameiurus melas,pescado_otros,Fish
BRECA DE JUAN FERNANDEZ,Nemadactylus gayi,pescado_otros,Fish
COCHINILLA,Navodon Paschalis,pescado_otros,Fish
HUAIQUIL O CORVINILLA,Micropogonias manni,pescado_otros,Fish
RAYA ESPINOSA,Dipturus trachyderma,raya,Ray
CAMARON NAVAJA,Campylonotus semistriatus,camaron_otro,Shrimp
ALGAS MIXTAS,Algas,alga,Algae
CAROLA,Callophyllis variegata,alga,Algae
JUREL FINO,Decapterus macrosoma,jurel,Jack mackerel
"MATAHUIRA, KARA KARA O KRA KRA",Heteropriacanthus cruentatus,pescado_otros,Fish
"NANUE, NANUE PARA, PISI O PUA",Kiphosus sandwicensis / Kiphosus bigibbus,pescado_otros,Fish
QUIMERA NEGRA,Hydrolagus melanophasma,tiburon,Shark
MERLUZA DE TRES ALETAS,Micromesistius australis,merluza,Hake
LENGUADO DE OJOS GRANDES,Hippoglossina macrops,pescado_otros,Fish
CENTOLLA DEL NORTE,Lithodes spp.,centolla_nor,King crab
GRANADERO GRANDE,Macrourus holotrachys,pescado_otros,Fish
PEJERRATA,Coelorhynchus chilensis,pescado_otros,Fish
PEJERRATA O GRANADERO ESCAMOSO,Macrourus carinatus.,pescado_otros,Fish
DRACO RAYADO,Champsocephalus gunnari,pescado_otros,Fish
KRILL,Euphasia superba,crustaceos_otros,Crustaceans
RAYA AGUILA,Myliobatis peruvianus,raya,Ray
BACALAO ANTARTICO,Dissostichus mawsoni,pescado_otros,Fish
MERLUZA DEL ATLANTICO,Merluccius hubbsi,merluza,Hake
NOTOTENIA O MARUJITO,Patagonotothen ramsayi,pescado_otros,Fish
RAYA MOTEADA O NEGRA,Sympterygia brevicaudata,raya,Ray
CALAMAR ILLEX O POTA DEL ATLANTICO,Illex argentinus,moluscos_otros,Mollusks
POTA DEL PACIFICO,Todarodes Pacificus,moluscos_otros,Mollusks
CUBICEPS,Cubiceps,pescado_otros,Fish
NA,Protothaca thaca,almeja_tha_ant,Clams
NA,Ameghinomya antiqua,almeja_tha_ant,Clams
NA,Cancer spp,jaiba,Jaiba
NA,Pecten,vieiras_volan,Vieiras
NA,Chlamys,vieiras_volan,Vieiras
NA,Placopecten,vieiras_volan,Vieiras
ATUN ALETA LARGA,Thunnus alalunga,NA,Tuna
AYANQUE,Cynoscion analis,NA,Fish
BAGRE AGUA DULCE,Ictalurus punctatus,NA,Fish
CARACOL PIQUILHUE,Adelomelon ancilla,NA,Gastropods
CRUSTACEO NO CLASIFICADO,Crustacea,NA,Crustaceans
MARLIN,Tetrapturus spp.,NA,Fish
NANUE,Kiphosus sandwicensis,NA,Fish
TOMOYO,Labrisomus philippii,NA,Fish
MARLIN RAYADO,Tetrapturus audax,NA,Fish
PEJERRATA O GRANADERO ESCAMOSO,Macrourus carinatus,NA,Fish
"NANUE, NANUE PARA, PISI O PUA",Kiphosus sandwicensis,NA,Fish
HAEMATOCOCCUS,Haematococcus pluvialis,NA,Algae
SPIRULINA,Spirulina spp.,NA,Algae
HALIBUT O FLETAN,Hippoglossus hippoglossus,NA,Fish
LENGUADO FINO,Paralichthys adpersus,NA,Fish
SALMON DEL ATLANTICO,Salmo salar,NA,Salmon
SALMON PLATEADO,Oncorhynchus kisutch,NA,Salmon
SALMON PLATEADO O COHO,Oncorhynchus kisutch,NA,Salmon
SALMON OTROS,Salmonidae,NA,Salmon
LUGA LUGA,Mazzaella membranacea,NA,Algae
ANCHOITA,Engraulis anchoita,NA,Sprat and herring
HIRAME,Paralichthys olivaceus,NA,Sprat and herring
BABUNCO O BAUNCO,Doydixodon Laevifrons,NA,Fish
MOLUSCO NO CLASIFICADO,Mollusca,NA,Mollusks
