"year","region","especie_SERNAPESCA","nombre_cientifico_SERNAPESCA","tons"
2013,4,"PELILLO","Gracilaria spp.",145.801
2013,4,"TRUCHA ARCOIRIS","Oncorhynchus mykiss",25.184
2013,5,"ABALON JAPONES","Haliotis discus hannai",0.35651
2013,5,"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius",20.021
2013,5,"ALGAS MIXTAS",NA,229.449
2013,5,"ANGUILA","Ophichthus spp.",70.8
2013,5,"BACALAO ANTARTICO","Dissostichus mawsoni",5.30345
2013,5,"BACALAO DE PROFUNDIDAD","Dissostichus eleginoides",119.41113
2013,5,"CAMARON NAILON","Heterocarpus reedi",258.76017
2013,5,"CARACOL PALO PALO","Argobuccinum spp.",0.968
2013,5,"CAROLA","Callophyllis variegata",229.449
2013,5,"CENTOLLA","Lithodes santolla",278.85168
2013,5,"CHASCA","Gelidium rex",44.85796
2013,5,"CHASCON O HUIRO NEGRO","Lessonia nigrescens",3157.695
2013,5,"CHOLGA","Aulacomya ater",285.5235
2013,5,"CHORO","Choromytilus chorus",285.5235
2013,5,"COCHAYUYO","Durvillaea antarctica",50.0306
2013,5,"CONGRIO COLORADO","Genypterus chilensis",3.235
2013,5,"CONGRIO NEGRO","Genypterus maculatus",3.235
2013,5,"GAMBA","Haliporoides diomedeae",1.12273
2013,5,"HUIRO","Macrocystis spp.",150.3987
2013,5,"JAIBA","Cancer spp.",103.5938
2013,5,"JAIBA LIMON","Cancer porteri",103.5938
2013,5,"JAIBA MARMOLA","Cancer edwardsi",103.5938
2013,5,"JAIBA MORA","Homalaspis plana",103.5938
2013,5,"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus",103.5938
2013,5,"JAIBA PELUDA O PACHONA","Cancer setosus",103.5938
2013,5,"JAIBA REINA","Cancer coronatus",103.5938
2013,5,"JAIBA REMADORA","Ovalipes trimaculatus",103.5938
2013,5,"LANGOSTA DE J.FERNANDEZ","Jasus frontalis",0.73
2013,5,"LOCO","Concholepas concholepas",5.949
2013,5,"MERLUZA COMUN","Merluccius gayi gayi",13.453
2013,5,"MERLUZA DEL SUR O AUSTRAL","Merluccius australis",11.58448
2013,5,"PELILLO","Gracilaria spp.",99.905
2013,5,"SALMON REY","Oncorhynchus tshawytscha",39.1415
2013,5,"TRUCHA ARCOIRIS","Oncorhynchus mykiss",50.0625
2013,6,"ALGAS MIXTAS",NA,322.99
2013,6,"CAROLA","Callophyllis variegata",322.99
2013,6,"CHASCA","Gelidium rex",44.95
2013,6,"CHASCON O HUIRO NEGRO","Lessonia nigrescens",50.2
2013,6,"COCHAYUYO","Durvillaea antarctica",213.3427
2013,6,"HUIRO","Macrocystis spp.",112.873
2013,6,"OSTION DEL NORTE","Argopecten purpuratus",1.831
2013,6,"SALMON REY","Oncorhynchus tshawytscha",465.09156
2013,6,"TRUCHA ARCOIRIS","Oncorhynchus mykiss",313.941
2013,7,"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius",15.474
