"species","region","tons","product","year","sc_name","en_name"
"ANCHOVETA","VI",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","VI",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","VI",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","VI",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","VI",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","VI",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","VI",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","VI",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","VI",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","VI",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","VI",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","VII",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","VII",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","VII",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","VII",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","VII",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","VII",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","VII",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","VII",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","VII",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","VII",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","VII",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","VII",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","VIII",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","VIII",0,"oil",2013,"Engraulis ringens","Anchoveta"
