chl_name,sc_name,en_name,group,en_group,trade_name
"TIBURON FUME, GRIS O GATA DE MAR",Hexanchus griseus,Bluntnose sixgill shark,tiburon,Shark,Shark
TIBURON NARIGON GRIS,Deania calcea,Birdbeak dogfish,tiburon,Shark,Shark
TIBURON O MARRAJO DENTUDO,Isurus oxyrinchus,Shortfin mako,tiburon,Shark,Shark
TOLLO DE CACHOS,Squalus acanthias,Picked dogfish,tiburon,Shark,Shark
TOLL0 DE CACHOS,Squalus acanthias,Picked dogfish,tiburon,Shark,Shark
ACHA O HACHA,Medialuna ancietae,Sea Chab,pescado_otros,Fish,Sea Chab
ACHA,Medialuna ancietae,Sea Chab,pescado_otros,Fish,Sea Chab
ATUN OJOS GRANDES / KAHI MATA TATA,Thunnus obesus,Bigeye tuna,atunes,Tuna,Tuna
BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA,Polyprion oxygeneios,Hapuku wreckfish,pescado_otros,Fish,Hapuku wreckfish
BACALAO DE J. FERNANDEZ,Polyprion oxygeneios,Hapuku wreckfish,pescado_otros,Fish,Hapuku wreckfish
BARRACUDA O PETO / KANA KANA,Acanthocybium solandri,Wahoo,pescado_otros,Fish,Wahoo
CAMARON NAVAJA,Campylonotus semistriatus,Razor shrimp,camaron_otro,Shrimp,Shrimp
CAMARON DE TALUD,Campylonotus semistriatus,Razor shrimp,camaron_otro,Shrimp,Shrimp
CENTOLLA DEL NORTE,Lithodes spp.,Northen king crab,centolla_nor,King crab,King crab
LAPA BONETE,Fissurella costata,Costate keyhole limpet,moluscos_otros,Mollusks,Limpet
LENGUADO DE OJOS GRANDES,Hippoglossina macrops,Bigeye flounder,pescado_otros,Fish,Flounders
MEDUSA,Chrysaora Plocamia,South American sea nettle,meduza,Jellyfish,Jellyfish
PEJERRATA O GRANADERO,Coelorhynchus spp,Banded whiptail,pescado_otros,Fish,Chilean grenadier
PULPO DE JUAN FERNANDEZ,Octopus Crusoe,Crusoe octopus,pulpo,Octopus,Octopus
RAYA AGUILA,Myliobatis peruvianus,Peruvian eagle ray,raya,Ray,Rays
REMOREMO,Elagatis bipinnulata,Rainbow runner,pescado_otros,Fish,Rainbow runner
BACALAO ANTARTICO,Dissostichus mawsoni,Antarctic toothfish,pescado_otros,Fish,Antarctic toothfish
CALAMAR ILLEX O POTA DEL ATLANTICO,Illex argentinus,Argentine shortfin squid,moluscos_otros,Mollusks,Squid
MERLUZA DEL ATLANTICO,Merluccius hubbsi,Argentine hake,merluza,Hake,Hake
NOTOTENIA O MARUJITO,Patagonotothen ramsayi,Longtail southern cod,pescado_otros,Fish,Longtail southern cod
POTA DEL PACIFICO,Todarodes Pacificus,Japanese flying squid,moluscos_otros,Mollusks,Squid
RAYA MOTEADA O NEGRA,Sympterygia brevicaudata,Shorttail fanskate,raya,Ray,Rays
"ATUN LISTADO, BARRILETE, CACHURRETA/AUHOPU",Katsuwonus pelamis,Skipjack tuna,atunes,Tuna,Tuna
CACHURRETA,Katsuwonus pelamis,Skipjack tuna,atunes,Tuna,Tuna
BAGRE,Ameiurus melas,Black bullhead,pescado_otros,Fish,Black bullhead
BRECA DE JUAN FERNANDEZ,Nemadactylus gayi,Breca,pescado_otros,Fish,Breca Juan Fernandez
CARACOL TROPHON,Trophon geversianus,Gevers's trophon,caracoles_otros,Gastropods,Snails
PEJERRATA O GRANADERO ESCAMOSO,Macrourus carinatus,Ridge scaled rattail,pescado_otros,Fish,Chilean grenadier
CUBICEPS,Cubiceps,Driftfish,pescado_otros,Fish,Driftfish
ALGAS MIXTAS,Algas,Algaes,alga,Algae,Algae
CAROLA,Callophyllis variegata,Carola,alga,Algae,Algae
HUIRO NEGRO O CHASCON,Lessonia nigrescens,Giant grey kelp,alga,Algae,Algae
HUIRO NEGRO,Lessonia nigrescens,Giant grey kelp,alga,Algae,Algae
JUREL FINO,Decapterus macrosoma,Shortfin scad,jurel,Jack mackerel,Jack mackerel
"MATAHUIRA, KARA KARA O KRA KRA",Heteropriacanthus cruentatus,Glasseye,pescado_otros,Fish,Glasseye
"NANUE, NANUE PARA,  PISI O PUA",Kiphosus sandwicensis,Pacific chub,pescado_otros,Fish,Pacific chub
QUIMERA NEGRA,Hydrolagus melanophasma,Eastern Pacific Black Ghostshark,tiburon,Shark,Eastern Pacific Black Ghostshark
HAEMATOCOCCUS,Haematococcus pluvialis,Haematococcus,alga,Algae,Alage
SPIRULINA,Spirulina spp.,Spirulina,alga,Algae,Alage
HALIBUT O FLETAN,Hippoglossus hippoglossus,Atlantic halibut,pescado_otros,Fish,Atlantic halibut
LENGUADO FINO,Paralichthys adpersus,Fine flounder,pescado_otros,Fish,Flounders
SALMON DEL ATLANTICO,Salmo salar,Atlantic salmon,salmon,Salmon,Salmon
SALMON PLATEADO,Oncorhynchus kisutch,Coho salmon,salmon,Salmon,Salmon
TRUCHA ARCO IRIS,Oncorhynchus mykiss,Rainbow trout,trucha,Trout,Trout
TURBOT,Scophtalmus maximus,Turbot,pescado_otros,Fish,Turbot
ABALON JAPONES,Haliotis discus hannai,Japanese abalone,abalon japones,Abalone,Abalone
ABALON ROJO,Haliotis rufescens,Red Abalone,abalon_otras,Abalone,Abalone
OSTION DEL NORTE,Argopecten purpuratus,Peruvian calico scallop,ostion,Scallop,Scallop
OSTRA DEL PACIFICO,Crassostrea gigas,Pacifuc Oyster,ostra,Oyster,Oyster
SALMON PLATEADO O COHO,Oncorhynchus kisutch,Coho salmon,salmon,Salmon,Salmon
TRUCHA ARCOIRIS,Oncorhynchus mykiss,Rainbow trout,trucha,Trout,Trout
JAIBA,Cancer spp.,Crab,jaiba,Jaiba,Crabs
SALMON OTROS,Salmonidae,Salmon,salmon,Salmon,Salmon
CARACOL REAL O GIGANTE O VOLUTA ANGULOSA,Zidona dufresnei,Giant snail,caracoles_otros,Gastropods,Snails
LUGA LUGA,Mazzaella membranacea,Luga,alga,Algae,Algae
LUGA-LUGA,Mazzaella membranacea,Luga,alga,Algae,Algae
ALMEJA O TACA,Protothaca taca,Taca clam,almeja_otras,Clams,Clams
OSTION PATAGONICO,Chlamys patagonica,Patagonian scallop,ostion,Scallop,Scallop
ANCHOITA,Engraulis anchoita,Argentine anchovy,sardina,Sprat and herring,Sardines
HIRAME,Paralichthys olivaceus,Bastard halibut,sardina,Sprat and herring,Herring
CAMARON ECUATORIANO O PENAEUE,Penaeus vannamei,Whiteleg shrimp,camaron_ecu,Whiteleg shrimp,Shrimp
BABUNCO O BAUNCO,Doydixodon Laevifrons,Sea chub,pescado_otros,Fish,Sea chub
MOLUSCO NO CLASIFICADO,Mollusca,Molluscs,moluscos_otros,Mollusks,Other mollusks
"ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU",Katsuwonus pelamis,Skipjack tuna,atunes,Tuna,Skipjack tuna
MERLUZA DEL SUR,Merluccius australis,Southern hake,merluza,Hake,Hake
VIDRIOLA,Seriola lalandi,Yellowtail amberjack,pescado_otros,Fish,Yellowtail amberjack
BRECA O VILLAGAY,Cheilodactylus variegatus,Peruvian morwong,pescado_otros,Fish,Peruvian morwong
CAZON,Galeorhinus galeus,Tope shark,tiburon,Shark,Shark
CHITON O APRETADOR,Chiton spp,Chitons,moluscos_otros,Mollusks,Limpet
ORANGE ROUGHY,Hoplosthethus atlanticus,Orange roughy,pescado_otros,Fish,Orange roughy
OTRAS ALGAS,Algaes,Algaes,alga,Algae,Algae
OTROS CRUSTACEOS,Crustacea,Crustacean,crustaceos_otros,Crustaceans,Other crustaceans
OTROS MOLUSCOS,Mollusca,Mollusks,moluscos_otros,Mollusks,Other mollusks
OTROS PESCADOS,Fish,Fish,pescado_otros,Fish,Other fish
SALMON ARTICO,Salvelinus alpinus,Arctic char,salmon,Salmon,Salmon
