"year","trade_name","landing_aqua","NHC","export","import","mean_yield","HC"
2014,"Eel",78,0,23.5355,0.00165,0.4,7.66615
2014,"Flathead grey mullet",59,0,0,0,0.6,35.4
2014,"Flounders",18,0,0,0,0.5,9
2014,"Giant barnacle",132,0,0,0,0.125,16.5
2014,"Grape-eye seabass",16,0,0,0,0.525,8.4
2014,"Hake",81502,52,13949.15281,374.785,0.5,27150.63219
2014,"Hapuku wreckfish",0,0,0,0,0.424,0
2014,"Huaiquil",0,0,0,0,0.5,0
2014,"Jack mackerel",271601,81056,132665.32591,5431.31801,0.5,-31961.5079
2014,"Jellyfish",0,0,0,0,1,0
2014,"Jerguilla",21,0,0,0,0.5,10.5
2014,"King crab",8458,0,5230.73853,0,0.24375,-3169.10103
2014,"King gar",419,408,0,0,0.5,5.5
2014,"Langostinos",11337,244,1397.29532,59.52,0.225,1158.14968
2014,"Limpet",1152,0,0,0,0.266428571428571,306.925714285714
2014,"Lobsters",90,0,10.931,0,0.225,9.319
2014,"Loco",2250,0,475.11639,0,0.225,31.13361
2014,"Lorna drum",121,59,0,0,0.525,32.55
2014,"Machas",832,0,97.35821,2.09088,0.225,91.93267
2014,"Mackerel",26213,19496,212.228,245.68005,0.6,4063.65205
2014,"Mackerel icefish",27,0,0,0,0.55,14.85
2014,"Mahi Mahi",237,0,0,0,0.6,142.2
2014,"Marlin",42,0,0,0,0.4875,20.475
2014,"Mote sculpin",50543,47990,0,0,0.5,1276.5
2014,"Mussels",245435,0,68918.29647,406.4522,0.175,-25560.71927
2014,"Navaja de mar",2960,0,846.2122,1.2705,0.225,-178.9417
2014,"Navajuela",4317,0,1710.10228,0,0.225,-738.77728
2014,"Navodon",0,0,0,0,0.5,0
2014,"Octopus",2283,0,23.1629,0,0.725,1632.0121
2014,"Orange roughy",0,0,0,0,0.5,0
2014,"Other crustaceans",5242,0,0,2.47174,0.2,1050.87174
2014,"Other fish",303,194,2.102,992.3835,0.5,1044.7815
2014,"Other mollusks",13,0,0,0.254,0.225,3.179
2014,"Oyster",327,0,3.659,0.05,0.125,37.266
2014,"Pacific chub",0,0,0,0,0.5,0
2014,"Pacific menhaden",8223,7973,0,0,0.55,137.5
2014,"Pacific sandperch",41,0,0,0,0.5,20.5
2014,"Patagonian blennie",289,0,0,0,0.5,144.5
2014,"Patagonian toothfish",2707,0,3226.94442,0,0.424,-2079.17642
2014,"Pejesapo",3,0,0,0,0.5,1.5
2014,"Peruvian anchoveta",817900,800661,60.88876,0,0.55,9420.56124
2014,"Peruvian banded croaker",2,0,0,0,0.525,1.05
2014,"Peruvian grunt",17,0,0,0,0.525,8.925
2014,"Peruvian morwong",110,0,0,0,0.5,55
2014,"Peruvian rock seabass",221,0,0,0,0.525,116.025
2014,"Peruvian weakfish",0,0,0,0,0.6,0
2014,"Prawns",71,0,0,2.34,0.2,16.54
2014,"Rainbow runner",0,0,0,0,0.5,0
2014,"Rays",24,0,0,0,0.5,12
2014,"Rockfish helicolenus",93,0,0,0,0.5,46.5
2014,"Salmon",803408,0,545599.69779,0.63103,0.5,-143895.06676
2014,"Sardines",570656,563199,29.125,586.12409,0.5,4285.49909
2014,"Scallop",4917,0,117.8014,1.48231,0.15,621.23091
2014,"Sea Chab",0,0,0,0,0.5,0
2014,"Sea bream",2,0,0,0,0.5,1
2014,"Sea cucumber",60,0,9.5616,0,1,50.4384
2014,"Sea urchin",32343,0,362.24598,0,0.075,2063.47902
2014,"Shark",841,0,0,0,0.5525,464.6525
2014,"Sheephead",8,0,0,0,0.5,4
2014,"Shrimp",4597,0,485.59656,2771.60195,0.2,3205.40539
2014,"Skipjack tuna",38,0,0,2054.53804,0.5375,2074.96304
2014,"Snails",1148,0,84.81762,0.07896,0.2,144.86134
2014,"Southern rays bream",35975,31,2709.55628,0,0.5,15262.44372
2014,"Splendid alfonsino",0,0,0,0,0.5,0
2014,"Squid",176620,7544,0,0,0.785,132724.66
2014,"Starry butterfish",3366,3320,0,0,0.5,23
2014,"Swordfish",5799,0,1886.85274,0,0.425,577.72226
2014,"Tadpole codling",522,0,221.57478,0,0.5,39.42522
2014,"Trout",151773,0,82379.09721,0,0.5,-6492.59720999999
2014,"Tuna",16,0,103.57737,22869.09764,0.475,22773.12027
2014,"Turbot",2,0,0,0,0.5,1
2014,"Vieja",8,0,0,0,0.55,4.4
2014,"Warehou",3636,3,2575.25934,0,0.6,-395.45934
2014,"Yellowtail amberjack",373,0,0,0,0.551666666666667,205.771666666667
2015,"Abalone",1045,0,16.1486,1.7302,0.225,220.7066
2015,"Algae",358277,354643,68563.44856,0,0.75,-65837.94856
2015,"American Elephantfish",442,0,0,0,0.5,221
2015,"Anchovy",0,0,38.4655,10.51834,0.55,-27.94716
2015,"Cabinza grunt",27,4,0,0,0.5,11.5
2015,"Chalapo clinid",0,0,0,0,0.5,0
2015,"Chilean grenadier",59,0,0,0,0.5,29.5
2015,"Chilean sandperch",16,0,0,0,0.5,8
