especie_SERNAPESCA,nombre_cientifico_SERNAPESCA,nombre_cientifico_aduana,codigo_aduana,combined_with_other_species,product_more_20_percent,alive
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,302.8311,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,302.8313,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,302.8319,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,0303.8312 ,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,0303.8311 ,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,0303.8313,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,0303.8319,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,0304.4610 ,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,304.8510,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,304.9211,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,304.9212,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,304.9219,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,0305.3950,0,0,0
"BACALAO I.PASCUA,ATUN ESCOFINA/KONSO     ",Ruvettus pretiosus,NA,NA,NA,NA,NA
BESUGO                                   ,Epigonus crassicaudus,Epigonus crassicaudus ,0303.8994,0,0,0
BESUGO                                   ,Epigonus crassicaudus,Epigonus crassicaudus ,0304.8950 ,0,0,0
BESUGO                                   ,Epigonus crassicaudus,Epigonus crassicaudus ,0303.8994 ,0,0,0
BLANQUILLO                               ,Prolatilus jugularis,NA,NA,NA,NA,NA
BONITO                                   ,Sarda chiliensis,Sarda spp.,0305.5400,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0302.4900,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0303.5900,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0305.5400,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0302.4900,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0303.5900,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0305.5400,1,0,0
