PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2013,,,,,,,,,,,,
,,,,,,,,,,,,
AÑO,MES,REGIÓN,Código Caleta,Nom_caleta,Código especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2013,1,15,4,ARICA,271,Rococo,"1,000,000",,0.01,B,BN ,CHD 
2013,1,15,4,ARICA,254,Palomerta,"1,000,000",,0.2,B,BN,CHD
2013,1,15,4,ARICA,221,Cabrilla común,"2,500,000",,0.04,B,BN,CHD
2013,1,15,4,ARICA,435,Choro,"1,300,000",,0.04,B,BN,CHD
2013,1,15,4,ARICA,450,Lapa,"2,000,000",,0.02,B,BN,CHD
2013,1,15,4,ARICA,226,Cojinoba del norte,"2,500,000",,0.04,B,BN,CHD
2013,1,15,4,ARICA,234,Jurel,"2,000,000",,0.02,B,BN,CHD
2013,1,15,4,ARICA,450,Lapa,"2,000,000",,0.01,B,BN,CHD
2013,1,15,4,ARICA,254,Palomerta,"1,300,000",,0.1,B,BN,CHD
2013,1,15,4,ARICA,435,Choro,"1,000,000",,0.02,B,BN,CHD
2013,1,1,10,CAVANCHA,406,Almeja,"200,000",,0.2,B,BN,CHD
2013,1,1,10,CAVANCHA,284,Tiburón o marrajo,"1,500,000",,0.1,L,BN,CHD
2013,1,1,10,CAVANCHA,230,Corvina,"1,500,000",,0.1,L,BN,CHD
2013,1,1,10,CAVANCHA,221,Cabrilla común,"1,500,000",,0.05,L,BN,CHD
2013,1,2,56,TALTAL,141,Chascón o huiro negro,"190,000",30,10,O,,PP
2013,1,2,56,TALTAL,142,Huiro palo,"190,000",30,2,O,,PP
2013,1,2,56,TALTAL,234,Jurel,"3,000,000",,0.02,O,,CHD
2013,1,2,56,TALTAL,142,Huiro palo,"300,000",,0.3,O,,PP
2013,1,2,56,TALTAL,141,Chascón o huiro negro,"230,000",30,20,O,,PP
2013,1,2,56,TALTAL,221,Cabrilla común,"2,300,000",,0.01,B,,CHD
2013,1,2,50,ANTOFAGASTA,234,Jurel,"300,000",,0.08,B,BN,CHD
2013,1,2,50,ANTOFAGASTA,231,Dorado de altura,"3,500,000",,0.045,B,BN,CHD
2013,1,2,50,ANTOFAGASTA,291,Bilagay,"800,000",,0.02,B,BN,CHD
2013,1,2,42,CALETA BUENA,450,Lapa,"1,000,000",,0.15,B,BN,PP
2013,1,2,42,CALETA BUENA,406,Almeja,"350,000",,0.4,B,BN,PP
2013,1,2,42,CALETA BUENA,141,Chascón o huiro negro,"240,000",,2.5,O,BN,PP
2013,1,2,42,CALETA BUENA,142,Huiro palo,"220,000",,1,O,BN,PP
2013,1,3,74,CHAÑARAL,229,Congrio negro,"2,500,000",,1,,,PP
2013,1,3,74,CHAÑARAL,274,Reineta,"1,500,000",,1,,,PP
2013,1,3,74,CHAÑARAL,220,Cabrilla,"1,500,000",,1,,,PP
2013,1,3,74,CHAÑARAL,231,Dorado de altura,"3,000,000",,1,,,PP
2013,1,3,74,CHAÑARAL,226,Cojinoba del norte,"2,500,000",,1,,,PP
2013,1,3,74,CHAÑARAL,273,Rollizo,"1,700,000",,1,,,PP
2013,1,3,74,CHAÑARAL,236,Lenguado de ojos chicos,"3,000,000",,1,,,PP
2013,1,3,74,CHAÑARAL,286,Tollo,"1,500,000",,1,,,PP
2013,1,3,74,CHAÑARAL,266,Albacora o pez espada,"3,000,000",,1,,,PP
2013,1,3,74,CHAÑARAL,262,Pejeperro,"2,500,000",,1,,,PP
2013,1,3,74,CHAÑARAL,252,Vieja o mulata,"2,500,000",,1,,,PP
2013,1,3,74,CHAÑARAL,450,Lapa,"1,200,000",,1,,,PP
2013,1,4,122,COQUIMBO,282,Sierra,"1,000,000",,0.025,B,BN,CHD
2013,1,4,122,COQUIMBO,242,Merluza común,"2,000,000",,1.3,B,BN,CHD
2013,1,4,122,COQUIMBO,234,Jurel,"1,500,000",,0.055,B,BN,CHD
2013,1,4,122,COQUIMBO,227,Congrio colorado,"3,000,000",,0.1,B,BN,CHD
2013,1,4,122,COQUIMBO,219,Cabinza,"1,000,000",,0.03,B,BN,CHD
2013,1,4,122,COQUIMBO,236,Lenguado de ojos chicos,"4,000,000",,0.015,B,BN,CHD
2013,1,4,122,COQUIMBO,282,Sierra,"1,000,000",,0.11,B,BN,CHD
2013,1,4,122,COQUIMBO,242,Merluza común,"2,000,000",,0.41,B,BN,CHD
2013,1,4,122,COQUIMBO,234,Jurel,"1,500,000",,0.048,B,BN,CHD
2013,1,4,122,COQUIMBO,227,Congrio colorado,"3,000,000",,0.1,B,BN,CHD
2013,1,4,122,COQUIMBO,219,Cabinza,"1,000,000",,0.037,B,BN,CHD
2013,1,4,122,COQUIMBO,240,Machuelo ,"500,000",,0.08,B,BN,CHD
2013,1,6,246,BUCALEMU,242,Merluza común,"714,285",,0.7,B,BN,CHD
2013,1,6,246,PICHILEMU,655,Jaiba remadora,"1,200,000",,0.3,B,BN,CHD
2013,1,6,246,PICHILEMU,282,Sierra,"1,000,000",,0.25,B,BN,CHD
2013,1,6,246,PICHILEMU,242,Merluza común,"357,142",,0.244,B,BN,CHD
2013,1,7,284,PELLUHUE,242,Merluza común,"333,000",,2.38,B,BN,CHD
2013,1,7,284,PELLUHUE,242,Merluza común,"296,000",,2.7,B,BN,CHD
2013,1,8,336,SAN VICENTE,242,Merluza común,"400,000",,0.9,L,BN,CHD
2013,1,8,336,SAN VICENTE,820,Piure,"200,000",,0.09,B,BN,CHD
2013,1,8,336,SAN VICENTE,652,Jaiba mora,"850,000",,0.05,B,BN,CHD
2013,1,8,336,SAN VICENTE,425,Cholga,"333,000",,0.12,B,BN,CHD
2013,1,8,336,SAN VICENTE,644,Picoroco,"260,000",,0.09,B,BN,CHD
2013,1,8,324,TALCAHUANO,425,Cholga,"450,000",,0.14,B,BN,CHD
2013,1,8,324,TALCAHUANO,242,Merluza común,"380,000",,0.05,L,BN,CHD
2013,1,8,324,TALCAHUANO,227,Congrio colorado,"2,250,000",,0.02,B,BN,CHD
2013,1,8,310,TOMÉ,274,Reineta,"400,000",,3,L,BN,CHD
2013,1,8,310,TOMÉ,820,Piure,"200,000",,0.2,B,BN,CHD
2013,1,8,310,TOMÉ,430,Chorito,"300,000",,0.15,B,BN,CHD
2013,1,8,310,TOMÉ,242,Merluza común,"450,000",,1.5,L,BN,CHD
2013,1,8,316,LIRQUÉN,652,Jaiba mora,"2,000,000",,0.25,B,BN,CHD
2013,1,8,316,LIRQUÉN,425,Cholga,"1,000,000",,0.15,B,BN,CHD
2013,1,8,350,LO ROJAS,655,Jaiba remadora,"380,000",,1.8,B - L ,BN,CHD - PP
2013,1,8,350,LO ROJAS,260,Pejerrey de mar,"210,000",,0.95,B - L ,BN,CHD - PP
2013,1,8,350,LO ROJAS,227,Congrio colorado,"1,350,000",,0.51,B,BN,CHD
2013,1,8,350,LO ROJAS,270,Robalo,"710,000",,0.21,B,BN,CHD
2013,1,8,350,LO ROJAS,654,Jaiba marmola,"410,000",,0.95,B - L,BN,CHD - PP
2013,1,8,350,LO ROJAS,444,Huepo o navaja de mar ,"650,000",,5.56,B,BN,PP
2013,1,8,350,LO ROJAS,465,Navajuela,"460,000",,4.26,,,
2013,1,8,350,LO ROJAS,406,Almeja,"310,000",,0.28,B,BN,CHD
2013,1,8,350,LO ROJAS,213,Blanquillo,"380,000",,0.24,B,BN,CHD
2013,1,8,350,LO ROJAS,234,Jurel,"470,000",,0.96,B- L,BN,CHD
2013,1,8,350,LO ROJAS,407,Taquilla,"100,000",,4.21,B,BN,PP
2013,1,8,350,LO ROJAS,242,Merluza común,"760,000",,0.56,L,BN,CHD - PP
2013,1,8,350,LO ROJAS,258,Pejegallo,"840,000",,0.63,L,BN,CHD - PP
2013,1,8,350,LO ROJAS,230,Corvina,"1,780,000",,0.18,B - L,BN,CHD
2013,1,8,350,LO ROJAS,282,Sierra,"450,000",,0.66,B - L,BN,CHD
2013,1,8,350,LO ROJAS,658,Jaiba reina,"420,000",,0.89,B - L,BN,CHD - PP
2013,1,8,350,LO ROJAS,820,Piure,"390,000",,0.71,B,BN,CHD
2013,1,8,350,LO ROJAS,236,Lenguado de ojos chicos,"1,420,000",,0.11,L,BN,CHD
2013,1,8,350,LO ROJAS,654,Jaiba marmola,"420,000",,0.5,B - L,BN,CHD - PP
2013,1,8,350,LO ROJAS,260,Pejerrey de mar,"560,000",,0.4,B - L,BN,CHD - PP
2013,1,8,350,LO ROJAS,234,Jurel,"330,000",,0.6,L,BN,CHD
2013,1,8,350,LO ROJAS,213,Blanquillo,"470,000",,0.28,B,BN,CHD
2013,1,8,350,LO ROJAS,406,Almeja,"830,000",,0.42,L,BN,CHD
2013,1,8,350,LO ROJAS,658,Jaiba reina,"420,000",,0.81,B,BN,CHD - PP
2013,1,8,350,LO ROJAS,653,Jaiba peluda,"420,000",,0.87,B,BN,CHD - PP
2013,1,8,350,LO ROJAS,820,Piure,"250,000",,0.5,B,BN,CHD
2013,1,8,336,LEBU,445,Jibia o calamar rojo,"147,000",,6,B,BN,PP
2013,1,8,336,LEBU,228,Congrio dorado,"1,600,000",,16,L,BN,PP
2013,1,9,388,QUEULE,282,Sierra,"200,000",,1,L,,CHD
2013,1,9,388,QUEULE,230,Corvina,"1,600,000",,1,L,,CHD
2013,1,9,388,QUEULE,226,Cojinoba del norte,"1,000,000",,1,L,,CHD
2013,1,9,388,QUEULE,258,Pejegallo,"800,000",,1,L,,CHD
2013,1,9,388,QUEULE,274,Reineta,"700,000",,1,L,,CHD
2013,1,9,388,QUEULE,282,Sierra,"200,000",,1,L,,CHD
2013,1,9,388,QUEULE,230,Corvina,"1,600,000",,1,L,,CHD
2013,1,9,388,QUEULE,226,Cojinoba del norte,"1,000,000",,1,L,,CHD
2013,1,9,388,QUEULE,258,Pejegallo,"800,000",,1,L,,CHD
2013,1,9,388,QUEULE,274,Reineta,"700,000",,1,L,,CHD
2013,1,10,573,LA VEGA,406,Almeja,"700,000",,2.4,L,BN,CHD
2013,1,10,573,LA VEGA,408,Tumbao,"270,000",,1.6,L,BN,CHD
2013,1,10,474,DALCAHUE,444,Huepo o navaja de mar ,"950,000",,2.9,L,BN,PP
2013,1,10,474,DALCAHUE,465,Navajuela,"680,000",,0.8,L,BN,PP
2013,1,10,474,DALCAHUE,145,Huiro ,"30,000",,116.5,O,BN,PP
2013,1,10,474,DALCAHUE,654,Jaiba marmola,"200,000",,6,L,BN,PP
2013,1,10,474,DALCAHUE,444,Huepo o navaja de mar ,"950,000",,1.9,L,BN,PP
2013,1,10,474,DALCAHUE,465,Navajuela,"650,000",,1.3,L,BN,PP
2013,1,10,474,DALCAHUE,425,Cholga,"200,000",,2.1,L,BN,PP
2013,1,10,474,DALCAHUE,136,Luga roja,"250,000",,2.8,L,BN,PP
2013,1,10,474,DALCAHUE,465,Navajuela,"600,000",,1.3,L,BN,PP
2013,1,10,474,DALCAHUE,444,Huepo o navaja de mar ,"700,000",,1.9,L,BN,PP
