PRECIOS DE PRIMERA TRANSACCI年 ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2015,,,,,,,,,,,,
,,,,,,,,,,,,
A絨,MES,REGI年,Codigo Caleta,Nom_caleta,Codigo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2015,1,6,256,BOCA DE RAPEL,435,Choro,"500,000",,0.45,B,BN,CHD
2015,1,6,246,PICHILEMU,230,Corvina,"3,000,000",,0.3,B,BN,CHD
2015,1,6,246,PICHILEMU,282,Sierra,"1,000,000",,0.1,B,BN,CHD
2015,1,6,246,PICHILEMU,282,Sierra,"1,000,000",,0.2,B,BN,CHD
2015,1,6,246,PICHILEMU,242,Merluza comun,"1,000,000",,0.084,B,BN,CHD
2015,1,6,251,BUCALEMU,242,Merluza comun,"357,142",,1.092,B,BN,CHD
2015,1,8,336,SAN VICENTE,644,Picoroco,"450,000",,0.2,B,BN,CHD
2015,1,8,336,SAN VICENTE,820,Piure,"250,000",,0.1,B,BN,CHD
2015,1,8,336,SAN VICENTE,242,Merluza comun,"428,000",,1.2,L,BN,CHD
2015,1,8,336,SAN VICENTE,242,Merluza comun,"571,000",,2.8,L,BN,CHD
2015,1,8,336,SAN VICENTE,644,Picoroco,"500,000",,0.3,B,BN,CHD
2015,1,8,336,SAN VICENTE,820,Piure,"250,000",,0.75,B,BN,CHD
2015,1,8,310,TOME,282,Sierra,"520,000",,0.07,B,BN,CHD
2015,1,8,310,TOME,236,Lenguado,"3,500,000",,0.015,B,BN,CHD
2015,1,8,310,TOME,270,Robalo,"2,000,000",,0.03,B,BN,CHD
2015,1,8,310,TOME,425,Cholga,"800,000",,0.2,B,BN,CHD
2015,1,8,310,TOME,242,Merluza comun,"330,000",,0.074,B,BN,CHD
2015,1,8,350,LO ROJAS,655,Jaiba remadora,"820,000",,1.7,B - L,BN,CHD -PP
2015,1,8,350,LO ROJAS,260,Pejerrey de mar,"250,000",,0.2,B - L,BN,CHD -PP
2015,1,8,350,LO ROJAS,227,Congrio colorado,"2,900,000",,0.5,B,BN,CHD
2015,1,8,350,LO ROJAS,229,Congrio negro,"1,600,000",,0.4,B,BN,CHD
2015,1,8,350,LO ROJAS,654,Jaiba marmola,"960,000",,0.9,B - L,BN,CHD - PP
2015,1,8,350,LO ROJAS,444,Huepo o navaja de mar,"1,050,000",,5,B,BN,CHD - PP
2015,1,8,350,LO ROJAS,465,Navajuela,"500,000",,3.2,B,BN,CHD - PP
2015,1,8,350,LO ROJAS,406,Almeja,"250,000",,0.3,B,BN,CHD
2015,1,8,350,LO ROJAS,213,Blanquillo,"400,000",,0.3,B,BN,CHD
2015,1,8,350,LO ROJAS,234,Jurel,"510,000",,0.7,B - L,BN,CHD-PP
2015,1,8,350,LO ROJAS,407,Taquilla,"80,000",,2.4,B,BN,CHD-PP
2015,1,8,350,LO ROJAS,258,Pejegallo,"750,000",,0.3,L,BN,CHD -PP
2015,1,8,350,LO ROJAS,230,Corvina,"2,900,000",,0.4,B - L,BN,CHD
2015,1,8,350,LO ROJAS,658,Jaiba reina,"980,000",,0.7,B,BN,CHD-PP
2015,1,8,350,LO ROJAS,820,Piure,"500,000",,0.2,B,BN,CHD
2015,1,8,350,LO ROJAS,653,Jaiba peluda,"940,000",,0.7,B,BN,CHD - PP
2015,1,8,350,LO ROJAS,445,Jibia o calamar rojo,"140,000",,10.1,L,BN,CHD-PP
2015,1,8,350,LO ROJAS,236,Lenguado,"4,900,000",,0.1,B,BN,CHD
2015,1,8,350,LO ROJAS,274,Reineta,"1,200,000",,4.8,B - L,BN,CHD - PP
2015,1,8,350,LO ROJAS,655,Jaiba remadora,"820,000",,0.1,B -L,BN,CHD - PP
2015,1,8,350,LO ROJAS,227,Congrio colorado,"3,000,000",,0.6,B,BN,CHD
2015,1,8,350,LO ROJAS,229,Congrio negro,"1,800,000",,1.9,B,BN,CHD
2015,1,8,350,LO ROJAS,654,Jaiba marmola,"960,000",,0.9,B - L,BN,CHD - PP
2015,1,8,350,LO ROJAS,444,Huepo o navaja de mar,"1,050,000",,5.7,B,BN,CHD - PP
2015,1,8,350,LO ROJAS,465,Navajuela,"500,000",,0.2,B,BN,CHD - PP
2015,1,8,350,LO ROJAS,406,Almeja,"250,000",,0.1,B,BN,CHD
2015,1,8,350,LO ROJAS,407,Taquilla,"80,000",,2.3,B,BN,CHD - PP
2015,1,8,350,LO ROJAS,242,Merluza comun,"1,400,000",,3.8,L,BN,CHD - PP
2015,1,8,350,LO ROJAS,258,Pejegallo,"750,000",,0.05,L,BN,CHD - PP
2015,1,8,350,LO ROJAS,230,Corvina,"3,100,000",,1.7,B - L,BN,CHD
2015,1,8,350,LO ROJAS,658,Jaiba reina,"980,000",,0.1,B,BN,CHD - PP
2015,1,8,350,LO ROJAS,820,Piure,"500,000",,0.2,B,BN,CHD
2015,1,8,350,LO ROJAS,653,Jaiba peluda,"940,000",,1.1,B,BN,CHD - PP
2015,1,8,350,LO ROJAS,445,Jibia o calamar rojo,"140,000",,2.7,L,BN,CHD - PP
