PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AÑO,MES,REGIÓN,Caleta,Nom_caleta,Especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,,,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,,,
2008,1,II,56,TALTAL,226,Cojinoba del norte,"1,400,000",,0.01,B,BN,CHD,,,
2008,1,II,46,TOCOPILLA,254,Palometa,"550,000",,0.10,L,BN,CHD,,,
2008,1,II,46,TOCOPILLA,220,Cabrilla,"1,000,000",,0.03,L,BN,CHD,,,
2008,1,II,46,TOCOPILLA,284,Tiburon o marrajo,"800,000",,0.16,L,BN,CHD,,,
2008,1,II,44,COBIJA,142,Huiro palo,"55,000",,1.20,O,BN,PP,,,
2008,1,II,44,COBIJA,145,Huiro  (Macrocystis spp),"50,000",,2.50,O,BN,PP,,,
2008,1,II,44,COBIJA,141,Chascón o huiro negro,"85,000",,5.60,O,BN,PP,,,
2008,1,III,78,HUASCO,229,Congrio negro,"1,100,000",,0.130,B,BN,CHD ,,,
2008,1,III,78,HUASCO,227,Congrio colorado,"2,000,000",,0.124,B,BN,CHD ,,,
2008,1,III,78,HUASCO,273,Rollizo,"900,000",,0.018,B,BN,CHD ,,,
2008,1,III,78,HUASCO,252,Vieja o mulata,"1,100,000",,0.013,B,BN,CHD ,,,
2008,1,III,78,HUASCO,236,Lenguado,"2,500,000",,0.010,B,BN,CHD ,,,
2008,1,III,78,HUASCO,230,Corvina,"1,900,000",,0.023,B,BN,CHD ,,,
2008,1,III,78,HUASCO,234,Jurel,"900,000",,3.250,B,BN,CHD ,,,
2008,1,III,78,HUASCO,286,Tollo,"1,000,000",,0.060,B,BN,CHD ,,,
2008,1,III,78,HUASCO,229,Congrio negro,"1,100,000",,0.100,B,BN,CHD ,,,
2008,1,III,78,HUASCO,227,Congrio colorado,"2,000,000",,0.230,B,BN,CHD ,,,
2008,1,III,78,HUASCO,273,Rollizo,"900,000",,0.025,B,BN,CHD ,,,
2008,1,III,78,HUASCO,252,Vieja o mulata,"1,100,000",,0.050,B,BN,CHD ,,,
2008,1,III,78,HUASCO,236,Lenguado,"2,500,000",,0.050,B,BN,CHD ,,,
2008,1,III,78,HUASCO,230,Corvina,"1,900,000",,0.200,B,BN,CHD ,,,
2008,1,III,78,HUASCO,234,Jurel,"900,000",,0.380,B,BN,CHD ,,,
2008,1,III,78,HUASCO,455,Loco,"1,740,000",,8.725,B,AM,PP,,,
2008,1,III,78,HUASCO,455,Loco,"800,000",,1.467,B,AM,PP,,,
2008,1,III,78,HUASCO,450,Lapa,"800,000",,0.300,B,BN,CHD,,,
2008,1,III,78,HUASCO,231,Dorado,"2,500,000",,0.350,B,BN,CHD,,,
2008,1,III,78,HUASCO,262,Pejeperro,"1,100,000",,0.050,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,227,Congrio colorado,"2,500,000",,0.070,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,418,Caracol rubio,"200,000",,0.800,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,236,Lenguado,"3,500,000",,0.007,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,258,Pejegallo,"1,200,000",,0.060,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,234,Jurel,"500,000",,0.750,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,242,Merluza común,"500,000",,0.950,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,229,Congrio negro,"1,300,000",,0.030,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,230,Corvina,"2,500,000",,0.025,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,236,Lenguado,"3,500,000",,0.025,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,234,Jurel,"450,000",,1.000,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,242,Merluza común,"500,000",,1.205,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,286,Tollo,"1,200,000",,0.040,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,219,Cabinza,"200,000",,0.060,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,268,Raya volantín,"400,000",,0.030,B,BN,CHD,,,
2008,1,IV,122,COQUIMBO,258,Pejegallo,"1,200,000",,0.040,B,BN,CHD,,,
2008,1,V,230,SAN ANTONIO,242,Merluza común,"1,000,000",,0.066,B,BN,CHD,,,
2008,1,V,230,SAN ANTONIO,242,Merluza común,"850,000",,0.080,B,BN,CHD,,,
2008,1,V,230,SAN ANTONIO,242,Merluza común,"800,000",,0.150,B,BN,CHD,,,
2008,1,V,190,HORCON,652,Jaiba mora,"1,800,000",,0.030,B,BN,CHD,,,
2008,1,V,190,HORCON,653,Jaiba peluda,"750,000",,0.030,B,BN,CHD,,,
2008,1,V,190,HORCON,242,Merluza común,"1,000,000",,0.060,B,BN,CHD,,,
2008,1,V,190,HORCON,239,Jerguilla,"500,000",,0.180,B,BN,CHD,,,
2008,1,V,222,HANGA ROA,202,Atún ojos grandes,"4,000,000",,0.025,B,BN,CHD,,,
2008,1,V,222,HANGA ROA,208,Atún aleta amarilla,"4,000,000",,0.140,B,BN,CHD,,,
2008,1,V,222,HANGA ROA,243,Konso,"2,000,000",,0.025,B,BN,CHD,,,
2008,1,V,222,HANGA ROA,208,Atún aleta amarilla,"4,000,000",,0.025,B,BN,CHD,,,
2008,1,V,222,HANGA ROA,226,Cojinoba del norte,"3,500,000",,0.025,B,BN,CHD,,,
2008,1,V,222,HANGA ROA,247,Matahuira,"3,500,000",,0.020,B,BN,CHD,,,
2008,1,V,224,HANGA PIKO,202,Atún ojos grandes,"4,000,000",,0.030,B,BN,CHD,,,
2008,1,V,224,HANGA PIKO,208,Atún aleta amarilla,"4,000,000",,0.340,B,BN,CHD,,,
2008,1,V,224,HANGA PIKO,226,Cojinoba del norte,"3,500,000",,0.110,B,BN,CHD,,,
2008,1,V,224,HANGA PIKO,243,Konso,"2,000,000",,0.021,B,BN,CHD,,,
2008,1,V,224,HANGA PIKO,247,Matahuira,"3,500,000",,0.045,B,BN,CHD,,,
2008,1,V,224,HANGA PIKO,269,Remoremo,"4,000,000",,0.065,B,BN,CHD,,,
2008,1,V,224,HANGA PIKO,282,Sierra,"3,500,000",,0.050,B,BN,CHD,,,
2008,1,V,224,HANGA PIKO,288,Toremo,"4,000,000",,0.030,B,BN,CHD,,,
2008,1,V,224,HANGA PIKO,245,Nanué,"4,000,000",,0.120,B,BN,CHD,,,
2008,1,V,224,HANGA PIKO,247,Matahuira,"4,000,000",,0.035,B,BN,CHD,,,
2008,1,V,224,HANGA PIKO,250,Popoo,"3,500,000",,0.020,B,BN,CHD,,,
2008,1,V,224,HANGA PIKO,269,Remoremo,"4,000,000",,0.040,B,BN,CHD,,,
2008,1,V,221,VAIHÚ,208,Atún aleta amarilla,"4,000,000",,0.055,B,BN,CHD,,,
2008,1,V,221,VAIHÚ,288,Toremo,"4,000,000",,0.023,B,BN,CHD,,,
2008,1,V,221,VAIHÚ,627,Langosta de I. de Pascua,"15,000,000",,0.007,B,BN,CHD,,,
2008,1,V,221,VAIHÚ,245,Nanué,"4,000,000",,0.090,B,BN,CHD,,,
2008,1,V,221,VAIHÚ,250,Popoo,"3,500,000",,0.020,B,BN,CHD,,,
2008,1,V,223,HOTU ITI,208,Atún aleta amarilla,"4,000,000",,0.065,B,BN,CHD,,,
2008,1,V,223,HOTU ITI,243,Konso,"2,000,000",,0.025,B,BN,CHD,,,
2008,1,V,223,HOTU ITI,269,Remoremo,"4,000,000",,0.040,B,BN,CHD,,,
2008,1,V,223,HOTU ITI,245,Nanué,"4,000,000",,0.160,B,BN,CHD,,,
2008,1,V,225,LA PEROUSSE,208,Atún aleta amarilla,"4,000,000",,0.060,B,BN,CHD,,,
2008,1,V,225,LA PEROUSSE,243,Konso,"2,000,000",,0.030,B,BN,CHD,,,
2008,1,V,225,LA PEROUSSE,208,Atún aleta amarilla,"4,000,000",,0.070,B,BN,CHD,,,
2008,1,V,225,LA PEROUSSE,226,Cojinoba del norte,"3,500,000",,0.020,B,BN,CHD,,,
2008,1,V,225,LA PEROUSSE,245,Nanué,"3,500,000",,0.130,B,BN,CHD,,,
2008,1,VI,256,BOCA DE RAPEL,238,Lisa,"1,000,000",,0.090,B,BN,CHD,,,
2008,1,VI,256,BOCA DE RAPEL,270,Róbalo,"1,200,000",,0.096,B,BN,CHD,,,
2008,1,VI,256,BOCA DE RAPEL,435,Choro,"1,000,000",,0.100,O,BN,CHD,,,
2008,1,VI,256,BOCA DE RAPEL,430,Chorito,"2,500,000",,0.200,B,BN,CHD,,,
2008,1,VI,256,BOCA DE RAPEL,145,Huiro  (Macrocystis spp),"100,000",,0.600,O,BN,C DE CULTIVO,,,
2008,1,VI,254,BUCALEMU,242,Merluza común,"535,000",,0.168,B,BN,CHD,,,
2008,1,VI,250,MATANZA,236,Lenguado,"5,000,000",,0.016,B,BN,CHD,,,
2008,1,VI,250,MATANZA,230,Corvina,"2,500,000",,0.008,B,BN,CHD,,,
2008,1,VI,250,MATANZA,820,Piure,"1,300,000",,1.000,O,BN,CHD,,,
2008,1,VI,250,MATANZA,110,Cochayuyo,"650,000",,0.360,O,BN,CHD,,,
2008,1,VI,250,MATANZA,265,Pejesapo,"1,000,000",,0.008,O,BN,CHD,,,
2008,1,VI,250,MATANZA,242,Merluza común,"535,000",,0.020,B,BN,CHD,,,
2008,1,VI,246,PICHILEMU,110,Cochayuyo,"785,000",,0.182,O,AM,CHD,,,
2008,1,VI,246,PICHILEMU,138,Luga cuchara o corta,"180,000",,0.058,O,AM,PP,,,
2008,1,VI,246,PICHILEMU,230,Corvina,"2,800,000",,0.050,B,BN,CHD,,,
2008,1,VI,246,PICHILEMU,282,Sierra,"1,000,000",,0.100,B,BN,CHD,,,
2008,1,VI,246,PICHILEMU,242,Merluza común,"678,000",,0.400,B,BN,CHD,,,
2008,1,VI,246,PICHILEMU,655,Jaiba remadora,"1,500,000",,0.040,B,BN,CHD,,,
2008,1,VI,246,PICHILEMU,820,Piure,"2,971,700",,0.230,O,BN,CHD,,,
2008,1,VII,636,PTO. MAGUILLINES,242,Merluza común,"512,000",,5.600,O,BN,CHD,,,
2008,1,VII,636,PTO. MAGUILLINES,242,Merluza común,"512,000",,3.900,O,BN,CHD,,,
2008,1,VII,268,DUAO,242,Merluza común,"667,000",,6.100,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,656,Jaiba panchote o Cangrejo,"600,000",,0.004,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,653,Jaiba peluda,"700,000",,0.020,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,408,Tumbao,"1,000,000",,0.030,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,425,Cholga,"400,000",,0.100,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,242,Merluza común,"1,700,000",,0.040,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,260,Pejerrey de mar,"100,000",,0.025,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,227,Congrio colorado,"2,400,000",,0.010,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,274,Reineta,"2,000,000",,0.040,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,282,Sierra,"1,600,000",,0.010,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,425,Cholga,"500,000",,0.040,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,408,Tumbao,"1,000,000",,0.020,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,465,Navajuela,"800,000",,0.050,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,227,Congrio colorado,"2,000,000",,0.015,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,260,Pejerrey de mar,"1,000,000",,0.010,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,810,Erizo,"750,000",,0.010,B,BN,CHD,,,
2008,1,VIII,324,TALCAHUANO,820,Piure,"600,000",,0.100,B,BN,CHD,,,
2008,1,VIII,310,TOMÉ,653,Jaiba peluda,"800,000",,3.200,B,BN,CHD,,,
2008,1,VIII,310,TOMÉ,229,Congrio negro,"1,200,000",,0.900,B,BN,CHD,,,
2008,1,VIII,310,TOMÉ,820,Piure,"500,000",,1.800,B,BN,CHD,,,
2008,1,VIII,310,TOMÉ,227,Congrio colorado,"600,000",,1.200,B,BN,CHD,,,
2008,1,VIII,310,TOMÉ,242,Merluza común,"800,000",,3.000,B,BN,CHD,,,
2008,1,VIII,310,TOMÉ,229,Congrio negro,"1,200,000",,0.500,B,BN,CHD,,,
2008,1,VIII,310,TOMÉ,820,Piure,"500,000",,2.600,B,BN,CHD,,,
2008,1,VIII,310,TOMÉ,227,Congrio colorado,"600,000",,0.300,B,BN,CHD,,,
2008,1,VIII,310,TOMÉ,242,Merluza común,"800,000",,1.200,B,BN,CHD,,,
2008,1,VIII,310,TOMÉ,651,Jaiba limón,"600,000",,2.100,B,BN,CHD,,,
2008,1,VIII,374,LEBU,228,Congrio dorado,"550,000",,3.150,L,BN,CHD,,,
2008,1,X,494,QUELLÓN,406,Almeja,"160,000",,1.200,O,BN,CHD,,,
2008,1,X,494,QUELLÓN,136,Luga roja,"150,000",,2.500,O,BN,PP,,,
2008,1,X,494,QUELLÓN,440,Culengue,"320,000",,0.750,O,BN,PP,,,
2008,1,X,494,QUELLÓN,654,Jaiba marmola,"170,000",,13.000,O,BN,PP,,,
2008,1,X,494,QUELLÓN,406,Almeja,"180,000",,0.950,O,BN,CHD,,,
2008,1,X,494,QUELLÓN,440,Culengue,"330,000",,0.170,O,BN,PP,,,
2008,1,X,494,QUELLÓN,136,Luga roja,"150,000",,4.020,O,BN,PP,,,
2008,1,XI,514,PTO. CHACABUCO,244,Merluza del sur o austral,"1,400,000",,2.645,B,BN,PP,,,
2008,1,XI,514,PTO. CHACABUCO,228,Congrio dorado,"700,000",,0.515,B,BN,PP,,,
2008,1,XI,514,PTO. CHACABUCO,228,Congrio dorado,"700,000",,0.660,B,BN,PP,,,
2008,1,XI,514,PTO. CHACABUCO,268,Raya volantín,"700,000",,0.770,B,BN,PP,,,
2008,1,XI,514,PTO. CHACABUCO,244,Merluza del sur o austral,"1,400,000",,2.801,B,BN,PP,,,
2008,1,XII,536,PTO. NATALES,228,Congrio dorado,"1,000,000",,0.200,L,BN,PP,,,
