PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,
2010,,,,,,,,,,,,,
,,,,,,,,,,,,,
AÑO,MES,REGIÓN,CALETA,Nom_caleta,ESPECIE,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,
2010,1,VI,246,PICHILEMU,242,Merluza común,"250,000",,0.420,B,BN,CHD,
2010,1,VIII,336,LEBU,274,Reineta,"1,600,000",,2.000,L,BN,PP,
2010,1,VIII,336,LEBU,274,Reineta,"300,000",,200.415,L,BN,CHD,
2010,1,VIII,336,LEBU,274,Reineta,"400,000",,222.200,L,BN,PP,
2010,1,VIII,336,LEBU,217,Bacalao de profundidad,"4,350,000",,6.036,L,BN,PP,
2010,1,VIII,324,TALCAHUANO,227,Congrio colorado,"2,000,000",,0.010,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,228,Congrio dorado,"2,500,000",,0.005,L,BN,CHD,
2010,1,VIII,324,TALCAHUANO,229,Congrio negro,"1,500,000",,0.010,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,236,Lenguado,"3,000,000",,0.010,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,239,Jerguilla,"2,000,000",,0.008,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,270,Robalo,"1,500,000",,0.003,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,273,Rollizo,"1,500,000",,0.009,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,274,Reineta,"1,500,000",,0.100,L,BN,CHD,
2010,1,VIII,324,TALCAHUANO,282,Sierra,"1,500,000",,0.150,L,BN,CHD,
2010,1,VIII,324,TALCAHUANO,444,Huepo o navaja de mar,"4,000,000",,0.002,L,BN,CHD,
2010,1,VIII,324,TALCAHUANO,445,Jibia o calamar rojo,"100,000",,0.003,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,651,Jaiba limón,"1,500,000",,0.200,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,820,Piure,"400,000",,0.008,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,408,Tumbao,"600,000",,0.010,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,425,Cholga,"500,000",,0.100,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,435,Choro,"1,000,000",,0.015,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,227,Congrio colorado,"2,000,000",,0.005,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,282,Sierra,"1,500,000",,0.010,L,BN,CHD,
2010,1,VIII,324,TALCAHUANO,652,Jaiba mora,"1,000,000",,0.015,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,653,Jaiba peluda,"1,000,000",,0.030,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,655,Jaiba remadora,"1,000,000",,0.020,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,820,Piure,"600,000",,0.150,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,110,Cochayuyo,"700,000",40 - 50 ,0.005,B,BN,CHD,
2010,1,VIII,324,TALCAHUANO,110,Cochayuyo,"800,000",41 - 50 ,0.005,B,BN,CHD,
2010,1,VIII,336,SAN VICENTE,242,Merluza común,"715,000",,0.560,L,BN,CHD,
2010,1,VIII,350,LO ROJAS,260,Pejerrey de mar,"210,000",,0.250,B - L,BN,CHD,
2010,1,VIII,350,LO ROJAS,227,Congrio colorado,"1,530,000",,0.420,B,BN,CHD,
2010,1,VIII,350,LO ROJAS,229,Congrio negro,"710,000",,0.980,B,BN,CHD,
2010,1,VIII,350,LO ROJAS,258,Pejegallo,"830,000",,0.350,B - L,BN,CHD,
2010,1,VIII,350,LO ROJAS,465,Navajuela,"430,000",,1.540,B,BN,PP,
2010,1,VIII,350,LO ROJAS,444,Huepo o navaja de mar,"680,000",,0.980,B,BN,PP,
2010,1,VIII,350,LO ROJAS,242,Merluza común,"1,450,000",,0.310,L,BN,CHD,
2010,1,VIII,350,LO ROJAS,234,Jurel,"780,000",,1.100,L,BN,CHD,
2010,1,VIII,350,LO ROJAS,282,Sierra,"940,000",,0.120,L,BN,CHD,
2010,1,VIII,350,LO ROJAS,655,Jaiba remadora,"540,000",,1.670,B,BN,CHD,
2010,1,VIII,350,LO ROJAS,654,Jaiba marmola,"620,000",,1.100,B - L,BN,CHD,
2010,1,VIII,350,LO ROJAS,230,Corvina,"1,450,000",,0.430,L,BN,CHD,
2010,1,VIII,350,LO ROJAS,260,Pejerrey de mar,"180,000",,0.450,B - L,BN,CHD,
2010,1,VIII,350,LO ROJAS,229,Congrio negro,"600,000",,0.870,B,BN,CHD,
2010,1,VIII,350,LO ROJAS,270,Robalo,"580,000",,0.120,B,BN,CHD,
2010,1,VIII,350,LO ROJAS,654,Jaiba marmola,"520,000",,0.890,L,BN,CHD,
2010,1,VIII,350,LO ROJAS,444,Huepo o navaja de mar,"750,000",,1.400,B,BN,PP,
2010,1,VIII,350,LO ROJAS,465,Navajuela,"410,000",,1.800,B,BN,PP,
2010,1,VIII,350,LO ROJAS,406,Almeja,"150,000",,1.940,B,BN,CHD,
2010,1,VIII,350,LO ROJAS,234,Jurel,"680,000",,1.400,B - L,BN,CHD,
2010,1,VIII,350,LO ROJAS,242,Merluza común,"1,350,000",,0.860,L,BN,CHD,
2010,1,VIII,350,LO ROJAS,258,Pejegallo,"820,000",,0.380,L,BN,CHD,
2010,1,VIII,350,LO ROJAS,230,Corvina,"1,450,000",,0.610,L,BN,CHD,
2010,1,VIII,350,LO ROJAS,425,Cholga,"500,000",,0.100,B,BN,CHD,
2010,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,1.000,L,,CHD,
2010,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,0.500,L,,CHD,
2010,1,X,474,DALCAHUE,406,Almeja,"100,000",,3.500,L,BN,PP,
2010,1,X,474,DALCAHUE,406,Almeja,"100,000",,2.800,L,BN,PP,
2010,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,0.900,L,,CHD,
2010,1,X,474,DALCAHUE,258,Pejegallo,"150,000",,1.500,L,,CHD,
2010,1,X,474,DALCAHUE,406,Almeja,"100,000",,8.000,L,BN,PP,
2010,1,X,474,DALCAHUE,406,Almeja,"100,000",,4.600,L,BN,PP,
2010,1,X,474,DALCAHUE,465,Navajuela,"350,000",,1.200,L,BN,PP,
2010,1,X,474,DALCAHUE,406,Almeja,"160,000",,13.900,L,BN,PP,
2010,1,X,474,DALCAHUE,465,Navajuela,"350,000",,1.800,L,BN,PP,
2010,1,X,474,DALCAHUE,654,Jaiba marmola,"120,000",,5.500,L,,PP,
2010,1,X,474,DALCAHUE,654,Jaiba marmola,"120,000",,6.000,L,,PP,
