PRECIOS DE PRIMERA TRANSACCIîN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2017,,,,,,,,,,,,
,,,,,,,,,,,,
A„O,MES,REGIîN,C—digo Caleta,Nom_caleta,C—digo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2017,1,3,76,CALDERA,230,Corvina,"2,000,000",,0.19,B - L,BN,CHD
2017,1,3,76,CALDERA,231,Dorado de altura,"1,500,000",,1.82,B - L,BN,CHD
2017,1,3,76,CALDERA,234,Jurel,"1,000,000",,0.1,B,BN,CHD
2017,1,3,76,CALDERA,236,Lenguado de ojos chicos,"2,500,000",,0.05,B,BN,CHD
2017,1,3,76,CALDERA,252,Vieja o mulata,"2,000,000",,0.1,B,BN,CHD
2017,1,3,76,CALDERA,653,Jaiba peluda,"1,000,000",,1.55,B,BN,CHD
2017,1,3,76,CALDERA,141,Chasc—n o huiro negro,"370,000",35,29.78,O,BN,PP
2017,1,3,76,CALDERA,141,Chasc—n o huiro negro,"300,000",35,48.5,B,BN,PP
2017,1,3,76,CALDERA,145,Huiro,"300,000",35,53.24,B,BN,PP
2017,1,3,78,HUASCO,266,Albacora o pez espada,"2,000,000",,,B,BN,PP
2017,1,3,78,HUASCO,207,Apa–ado,"1,200,000",,0.03,B,BN,CHD
2017,1,3,78,HUASCO,451,Lapa negra,"1,000,000",,0.24,B,BN,CHD
2017,1,3,78,HUASCO,406,Almeja,"1,000,000",,,B,BN,CHD
2017,1,3,78,HUASCO,652,Jaiba mora,"300,000",,0.37,B,BN,CHD
2017,1,3,78,HUASCO,234,Jurel,"1,000,000",,0.99,B,BN,CHD
2017,1,3,78,HUASCO,227,Congrio colorado,"2,000,000",,0.27,B,BN,CHD
2017,1,3,78,HUASCO,282,Sierra,"1,100,000",,0.02,B,BN,CHD
2017,1,3,78,HUASCO,218,Caballa,"1,400,000",,0.06,B,BN,CHD
2017,1,3,78,HUASCO,221,Cabrilla comœn,"1,200,000",,0.01,B,BN,CHD
2017,1,3,78,HUASCO,204,Breca o Vilagay,"500,000",,0.02,B,BN,CHD
2017,1,3,78,HUASCO,236,Lenguado de ojos chicos,"3,000,000",,,B,BN,CHD
2017,1,3,78,HUASCO,412,Caracol tegula,"250,000",,,B,BN,CHD
2017,1,3,78,HUASCO,226,Cojinoba del norte,"1,700,000",,,B,BN,CHD
2017,1,3,78,HUASCO,230,Corvina,"2,500,000",,0.17,B,BN,CHD
2017,1,3,78,HUASCO,231,Dorado de altura,"1,200,000",,8,B,BN,CHD
2017,1,3,78,HUASCO,252,Vieja o mulata,"1,500,000",,0.05,B,BN,CHD
