PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2014,,,,,,,,,,,,
,,,,,,,,,,,,
AÑO,MES,REGIÓN,Codigo Caleta,Nom_caleta,Codigo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2014,1,8,308,COCHOLGUE,227,Congrio colorado,"2,000,000",,0.05,B,BN,CHD
2014,1,8,308,COCHOLGUE,282,Sierra,"500,000",,0.1,B,BN,CHD
2014,1,8,308,COCHOLGUE,242,Merluza común,"540,000",,0.5,B,BN,CHD
2014,1,8,350,LO ROJAS,655,Jaiba remadora,"610,000",,1.16,B - L,BN,CHD-PP
2014,1,8,350,LO ROJAS,260,Pejerrey de mar,"460,000",,0.51,B - L,BN,CHD-PP
2014,1,8,350,LO ROJAS,227,Congrio colorado,"2,200,000",,0.53,B,BN,CHD
2014,1,8,350,LO ROJAS,229,Congrio negro,"1,760,000",,0.84,B,BN,CHD
2014,1,8,350,LO ROJAS,270,Robalo,"720,000",,0.43,B,BN,CHD
2014,1,8,350,LO ROJAS,654,Jaiba marmola,"680,000",,1.32,B - L,BN,CHD-PP
2014,1,8,350,LO ROJAS,444,Huepo o navaja de mar,"750,000",,5.7,B,BN,CHD-PP
2014,1,8,350,LO ROJAS,465,Navajuela,"550,000",,3.97,B,BN,CHD -PP
2014,1,8,350,LO ROJAS,406,Almeja,"670,000",,0.41,B,BN,CHD
2014,1,8,350,LO ROJAS,213,Blanquillo,"490,000",,0.72,B,BN,CHD
2014,1,8,350,LO ROJAS,234,Jurel,"530,000",,2.8,B-L,BN,CHD
2014,1,8,350,LO ROJAS,407,Taquilla,"110,000",,5.66,B,BN,PP
2014,1,8,350,LO ROJAS,242,Merluza común,"1,120,000",,0.51,L,BN,CHD-PP
2014,1,8,350,LO ROJAS,258,Pejegallo,"780,000",,0.58,L,BN,CHD-PP
2014,1,8,350,LO ROJAS,230,Corvina,"1,850,000",,0.46,B - L,BN,CHD
2014,1,8,350,LO ROJAS,282,Sierra,"771,000",,0.33,B - L,BN,CHD
2014,1,8,350,LO ROJAS,658,Jaiba reina,"710,000",,1.21,B,BN,CHD-PP
2014,1,8,350,LO ROJAS,820,Piure,"570,000",,0.89,B,BN,CHD
2014,1,8,350,LO ROJAS,653,Jaiba peluda ,"730,000",,1.32,B,BN,PP
2014,1,8,350,LO ROJAS,425,Cholga,"560,000",,0.63,L,BN,CHD
2014,1,8,350,LO ROJAS,236,Lenguado de ojos chicos,"1,490,000",,0.28,B,BN,CHD
2014,1,8,350,LO ROJAS,270,Robalo,"720,000",,0.29,B,BN,CHD
