PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2012,,,,,,,,,,,,
,,,,,,,,,,,,
AÑO,MES,REGIÓN,Código Caleta,Nom_caleta,Código especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2012,1,I,8,RIQUELME,254,Palometa,"1,300,000",,0.47,L,BN,CHD
2012,1,I,8,RIQUELME,260,Pejerrey de mar,"1,000,000",,0.01,B,BN ,CHD
2012,1,II,50,ANTOFAGASTA,226,Cojinoba del norte,"2,000,000",,3.00,L,BN,CHD
2012,1,II,50,ANTOFAGASTA,234,Jurel,"1,000,000",,0.04,B,BN,CHD
2012,1,II,50,ANTOFAGASTA,207,Apañado,"750,000",,0.01,B,BN,CHD
2012,1,II,50,ANTOFAGASTA,234,Jurel,"1,500,000",,0.04,B,BN,CHD
2012,1,II,39,PAQUICA,820,PIURE,"200,000",,0.10,B,BN,CHD
2012,1,II,39,PAQUICA,450,LAPA,"900,000",,0.08,B,BN,PP
2012,1,II,39,PAQUICA,406,ALMEJA,"400,000",,0.06,B,BN,PP
2012,1,II,39,PAQUICA,425,CHOLGA,"180,000",,0.15,B,BN,PP
2012,1,II,40,PUNTA ARENAS,141,Chascón o huiro negro,"200,000",50,1.50,O,BN,PP
2012,1,II,40,PUNTA ARENAS,142,Huiro palo,"180,000",50,2.80,O,BN,PP
2012,1,II,40,PUNTA ARENAS,145,Huiro,"100,000",50,1.20,B,BN,PP
2012,1,II,40,PUNTA ARENAS,226,Cojinoba del norte,"1,200,000",,0.08,L,BN,CHD
2012,1,II,40,PUNTA ARENAS,141,Chascón o huiro negro,"200,000",50,1.50,O,BN,PP
2012,1,II,40,PUNTA ARENAS,142,Huiro palo,"180,000",50,2.80,O,BN,PP
2012,1,II,40,PUNTA ARENAS,145,Huiro,"100,000",50,1.20,B,BN,PP
2012,1,II,40,PUNTA ARENAS,226,Cojinoba del norte,"1,200,000",,0.08,L,BN,CHD
2012,1,II,56,TALTAL,141,Chascón o huiro negro,"160,000",50,1.00,O,,PP
2012,1,II,56,TALTAL,226,Cojinoba del norte,"2,000,000",,0.03,B,,CHD
2012,1,II,56,TALTAL,207,Apañado,"2,000,000",,0.01,B,,CHD
2012,1,II,56,TALTAL,220,Cabrilla,"1,500,000",,0.01,B,,CHD
2012,1,II,56,TALTAL,227,Congrio colorado,"2,200,000",,0.04,O,,CHD
2012,1,II,56,TALTAL,262,Pejeperro,"2,000,000",,0.02,O,BN,CHD
2012,1,II,56,TALTAL,141,Chascón o huiro negro,"130,000",50,5.00,O,BN,PP
2012,1,II,56,TALTAL,226,Cojinoba del norte,"2,000,000",,0.02,B,BN,CHD
2012,1,II,56,TALTAL,450,LAPA,"800,000",,0.30,O,BN,PP
2012,1,II,60,MEJILLONES,141,Chascón o huiro negro,"120,000",50,4.00,O,BN,PP
2012,1,II,60,MEJILLONES,820,PIURE,"2,000,000",,0.05,B,BN,CHD
2012,1,II,60,MEJILLONES,406,ALMEJA,"500,000",,0.15,B,BN,CHD
2012,1,II,60,MEJILLONES,425,CHOLGA,"670,000",,0.20,B,BN,CHD
2012,1,II,60,MEJILLONES,450,LAPA,"800,000",,0.30,B,BN,CHD
2012,1,II,60,MEJILLONES,227,Congrio colorado,"2,500,000",,0.05,B,BN,CHD
2012,1,II,60,MEJILLONES,236,Lenguado de ojos chicos,"2,500,000",,0.02,B,BN,CHD
2012,1,II,60,MEJILLONES,262,Pejeperro,"800,000",,0.03,B,BN,CHD
2012,1,II,60,MEJILLONES,142,Huiro palo,"190,000",50,6.00,O,BN,PP
2012,1,IV,122,COQUIMBO,282,SIERRA,"300,000",,0.18,B,BN,CHD
2012,1,IV,122,COQUIMBO,451,LAPA NEGRA,"1,000,000",,0.10,B,BN,CHD
2012,1,IV,122,COQUIMBO,644,PICOROCO,"250,000",,0.07,B,BN,CHD
2012,1,IV,122,COQUIMBO,820,PIURE,"200,000",,0.01,B,BN,CHD
2012,1,IV,122,COQUIMBO,242,Merluza común,"500,000",,0.58,B,BN,CHD
2012,1,IV,122,COQUIMBO,406,ALMEJA,"500,000",,0.01,B,BN,CHD
2012,1,IV,122,COQUIMBO,227,Congrio colorado,"2,500,000",,0.06,B,BN,CHD
2012,1,IV,122,COQUIMBO,412,CARACOL TEGULA,"300,000",,0.02,B,BN,CHD
2012,1,IV,122,COQUIMBO,445,JIBIA O CALAMAR ROJO,"110,000",,12.44,B,BN,PP
2012,1,IV,122,COQUIMBO,227,Congrio colorado,"2,500,000",,0.20,B,BN,CHD
2012,1,V,214,CALETA PORTALES,242,Merluza común,"666,666",,0.52,B,,PP
2012,1,V,214,CALETA PORTALES,242,Merluza común,"400,000",,0.24,B,,
2012,1,V,214,CALETA PORTALES,242,Merluza común,"500,000",,0.36,B,,PP
2012,1,V,210,EL MEMBRILLO,242,Merluza común,"714,286",,0.45,B,,PP
2012,1,V,190,HORCON,227,Congrio colorado,"3,500,000",,0.08,B,BN,CHD
2012,1,V,190,HORCON,242,Merluza común,"1,666,666",,0.02,B,BN,CHD
2012,1,V,190,HORCON,229,Congrio negro,"2,000,000",,0.09,B,BN,CHD
2012,1,V,230,SAN ANTONIO,242,Merluza común,"1,200,000",,0.20,B,BN,CHD
2012,1,V,230,SAN ANTONIO,242,Merluza común,"1,300,000",,0.12,B,BN,CHD
2012,1,V,230,SAN ANTONIO,242,Merluza común,"1,000,000",,0.04,B,BN,CHD
2012,1,V,230,SAN ANTONIO,274,REINETA,"1,000,000",,0.15,B,BN,CHD
2012,1,V,230,SAN ANTONIO,242,Merluza común,"1,000,000",,0.35,L,BN,CHD
2012,1,V,230,SAN ANTONIO,274,REINETA,"1,100,000",,0.30,B,BN,CHD
2012,1,V,230,SAN ANTONIO,242,Merluza común,"1,100,000",,0.07,B,BN,CHD
2012,1,V,230,SAN ANTONIO,242,Merluza común,"1,100,000",,0.05,B,BN,CHD
2012,1,VI,254,BUCALEMU,242,Merluza común,"714,286",,2.32,B,BN,CHD
2012,1,VI,254,BUCALEMU,242,Merluza común,"428,571",,0.56,B,BN,CHD
2012,1,VI,254,BUCALEMU,268,Raya volantín,"800,000",,2.03,B,BN,PP
2012,1,VI,246,PICHILEMU,230,Corvina,"3,000,000",,0.30,B,BN,CHD
2012,1,VI,246,PICHILEMU,242,Merluza común,"357,143",,0.62,B,BN,CHD
2012,1,VI,246,PICHILEMU,242,Merluza común,"1,000,000",,0.08,B,BN,CHD
2012,1,VIII,324,TALCAHUANO,658,JAIBA REINA,"600,000",,0.20,B,BN,CHD
2012,1,VIII,324,TALCAHUANO,445,JIBIA O CALAMAR ROJO,"150,000",,20.00,L,BN,PP
2012,1,VIII,324,TALCAHUANO,820,PIURE,"360,000",,0.15,B,BN,CHD
2012,1,VIII,324,TALCAHUANO,242,Merluza común,"720,000",,0.50,L,BN,CHD - PP
2012,1,VIII,324,TALCAHUANO,656,JAIBA PANCHOTE,"510,000",,0.10,B,BN,CHD
2012,1,VIII,324,TALCAHUANO,229,Congrio negro,"1,600,000",,0.01,B,BN,CHD
2012,1,VIII,324,TALCAHUANO,445,JIBIA O CALAMAR ROJO,"130,000",,10.00,L,BN,PP
2012,1,VIII,324,TALCAHUANO,644,PICOROCO,"600,000",,0.02,B,BN,CHD
2012,1,VIII,324,TALCAHUANO,242,Merluza común,"700,000",,1.00,L,BN,CHD - PP
2012,1,X,456,ANCUD,217,Bacalao de profundidad,"6,500,000",,1.00,L,BN,PP
2012,1,X,456,ANCUD,406,ALMEJA,"250,000",,1.00,B - L,BN,CHD-PP
2012,1,X,456,ANCUD,444,HUEPO O NAVAJA,"800,000",,1.00,B - L,BN,PP
2012,1,X,456,ANCUD,456,ABALON ROJO,"450,000",,1.00,B - L,BN ,PP
2012,1,X,456,ANCUD,136,Luga roja,"250,000",50,1.00,B,BN,PP
2012,1,X,456,ANCUD,137,Luga negra o crespa,"130,000",50,1.00,B,BN,PP
2012,1,X,456,ANCUD,130,Pelillo,"40,000",50,1.00,B,BN,PP
2012,1,X,474,DALCAHUE,136,Luga roja,"500,000",50,2.20,O,BN,PP
2012,1,X,474,DALCAHUE,137,Luga negra o crespa,"380,000",50,19.10,O,BN,PP
2012,1,X,474,DALCAHUE,137,Luga negra o crespa,"400,000",50,15.30,O,BN,PP
2012,1,X,474,DALCAHUE,654,JAIBA MARMOLA,"120,000",,2.70,L,,PP
2012,1,X,474,DALCAHUE,654,JAIBA MARMOLA,"190,000",,5.90,L,,PP
2012,1,X,474,DALCAHUE,405,JULIANA O TAWERA,"80,000",,9.80,L,BN,PP
2012,1,X,474,DALCAHUE,405,JULIANA O TAWERA,"80,000",,11.50,L,BN,PP
2012,1,X,474,DALCAHUE,465,NAVAJUELA,"450,000",,2.10,O,BN,PP
2012,1,X,474,DALCAHUE,228,Congrio dorado,"300,000",,3.80,L,,PP
2012,1,X,474,DALCAHUE,228,Congrio dorado,"300,000",,8.00,L,,PP
2012,1,X,474,DALCAHUE,228,Congrio dorado,"300,000",,2.00,L,,CHD
2012,1,X,474,DALCAHUE,228,Congrio dorado,"300,000",,1.20,L,,CHD
2012,1,X,474,DALCAHUE,465,NAVAJUELA,"450,000",,5.40,O,BN,PP
2012,1,X,474,DALCAHUE,137,Luga negra o crespa,"200,000",,15.00,O,BN,PP
2012,1,X,474,DALCAHUE,137,Luga negra o crespa,"200,000",,17.00,O,BN,PP
2012,1,X,474,DALCAHUE,654,JAIBA MARMOLA,"110,000",,8.00,L,,PP
2012,1,X,474,DALCAHUE,654,JAIBA MARMOLA,"110,000",,8.90,L,,PP
2012,1,X,474,DALCAHUE,654,JAIBA MARMOLA,"110,000",,6.10,L,,PP
2012,1,X,474,DALCAHUE,258,Pejegallo,"200,000",,0.30,L,,CHD
2012,1,X,474,DALCAHUE,654,JAIBA MARMOLA,"190,000",,4.50,L,,PP
